cust_id,region,sector,loan_amount,hazard_index_100,transition_combined_index_100,exposure_index_100,vulnerability_index_100,hazard_score_1000,transition_combined_score_1000,exposure_score_1000,vulnerability_score_1000,combined_climate_index_100,combined_climate_score_1000,climate_rating
1,Gulf_Coast_Urban,Banking,50000,56.759455,46.49735,6.10912,45.934582,567.594554,464.973496,61.091204,459.345818,39.907614,399.076142,B – Resilient
2,South_Asia_Coast,Agriculture,50000,34.392332,31.526909,48.145593,88.761079,343.923325,315.269091,481.455929,887.610785,45.269604,452.696036,C – Moderately Vulnerable
3,South_Asia_Coast,Steel,420329,33.294438,55.695525,47.794215,68.739586,332.944384,556.955253,477.942149,687.395858,47.836426,478.364264,C – Moderately Vulnerable
4,SE_Asia_StormBel,RealEstate,50000,56.729254,84.972972,18.538887,17.737755,567.292538,849.729721,185.388872,177.377546,48.393867,483.938668,C – Moderately Vulnerable
5,EastAfrica_Droug,AutoManufacturing,50000,55.520163,30.688984,57.751363,67.265544,555.201631,306.889838,577.51363,672.65544,51.631975,516.319754,C – Moderately Vulnerable
6,EastAfrica_Droug,Retail,63843,71.157387,87.893952,82.441329,15.313612,711.573872,878.939521,824.413292,153.136121,69.785948,697.859476,D – High Climate Risk
7,EastAfrica_Droug,Retail,50000,41.426085,61.282157,87.636548,31.862617,414.260855,612.821573,876.365478,318.626169,56.508199,565.081987,C – Moderately Vulnerable
8,South_Asia_Coast,Retail,50000,41.344082,65.517336,36.585785,46.314101,413.440817,655.17336,365.857846,463.141015,46.943324,469.43324,C – Moderately Vulnerable
9,SE_Asia_StormBel,Banking,259764,51.244315,79.098594,19.418933,63.615711,512.443148,790.985938,194.189333,636.157108,52.107249,521.072486,C – Moderately Vulnerable
10,South_Asia_Coast,AutoManufacturing,79736,58.145553,56.752011,50.696294,47.007927,581.455531,567.520111,506.962943,470.079266,54.264209,542.642089,C – Moderately Vulnerable
11,EastAfrica_Droug,OilGas,131777,25.423026,34.001359,12.176253,58.353582,254.230257,340.013588,121.762526,583.535822,29.195499,291.954992,B – Resilient
12,South_Asia_Coast,AutoManufacturing,210844,47.390067,65.108459,85.026275,68.27596,473.900671,651.084588,850.262753,682.759605,64.361601,643.616011,D – High Climate Risk
