cust_id,age_years,monthly_income,loan_amount,property_value,monthly_instalment,dbr_ratio,tenure_months,dpd_30plus_12m,dpd_60plus_12m,dpd_max_12m,base_pd,default_flag,flood_index,heat_index,storm_index,drought_index,sealevel_index,carbon_index,emissions_intensity_idx,transition_risk_idx,greeninv_risk_index,governance_risk_index,ndvi_vulnerability,vuln_index_from_raw,VULNCI,PCCI,TCCI,PCI,CHRC,segment,RCI,RSI
1,47,29840.634316,314549.45293,523561.68621,49775547.633,166804.58969,203,0,0,79,667.69235877,1,84.267279063,27.838226501,93.354463228,18.739204132,36.875834479,10.106994607,74.119253852,15.068268473,84.062087233,75.042906473,99.372117943,68.486656264,68.486656264,56.049793231,33.098172311,52.544873935,52.544873935,Corpor,31.513343736,44.573982771
2,25,23460.194656,330034.30039,518158.36591,86731920.374,369698.21285,285,1,0,68,1479.2008514,1,57.073457586,47.714476124,97.281495156,98.626642837,84.238469391,82.254215889,25.880806847,81.260267203,51.928415941,42.812572513,39.431382064,67.356476289,67.356476289,75.174017926,63.131763313,68.554085842,68.554085842,SME,32.643523711,69.152890619
3,53,25288.353978,371564.39536,493092.75582,65204730.392,257844.89749,75,0,0,33,1031.57759,1,55.139904376,78.273335891,6.2938089017,1.4618625864,75.080014137,24.051622744,69.761567703,87.010096572,95.642107772,68.472595629,13.027515728,46.56901639,46.56901639,35.292227939,60.274429006,47.378557778,47.378557778,Retail,53.43098361,47.783328472
4,65,10727.899825,267823.68995,437341.65987,31299141.176,291754.59955,201,0,0,33,1167.2163982,1,31.665093475,62.167703919,14.416608284,59.398464672,93.138882215,32.572066644,19.641262852,78.605172364,96.519820881,44.270019955,98.90632655,36.083135226,36.083135226,41.911967588,43.606167287,40.5337567,40.5337567,Corpor,63.916864774,42.759067437
5,41,13142.158907,281459.00029,352488.15789,94081546.037,715875.88235,259,0,1,42,2863.7555294,1,19.216831797,85.579872178,71.975342208,54.865445779,84.459960298,98.063268908,38.605867699,17.096510949,73.123318306,18.65706013,97.866351111,58.924015394,58.924015394,57.90937299,51.255215852,56.029534745,56.029534745,SME,41.075984606,54.582294421
6,55,10465.224193,241863.61097,334541.44567,77717635.534,742627.52617,86,0,0,71,2970.9361047,1,71.384953195,6.6401711432,51.137481234,80.12303065,13.498790585,90.875673271,12.117029028,15.979744098,27.925281669,28.769892757,55.128414091,43.054201857,43.054201857,52.321409056,39.657482132,45.011031015,45.011031015,Retail,56.945798143,45.989445594
7,37,22882.388103,163648.17751,277720.45241,50922985.126,222542.26656,285,0,0,8,890.21706623,1,64.797616377,45.865045302,44.767327141,2.178258705,42.650822387,60.153933917,62.595560541,66.325620562,81.78328427,3.0449673068,15.692096087,51.809996273,51.809996273,39.402061881,63.02503834,51.412365498,51.412365498,Corpor,48.190003727,51.213550111
8,44,14833.942709,179906.38745,230366.38545,43570399.621,293720.96465,230,0,0,41,1175.1298586,1,27.501195599,81.890435237,84.234900097,76.368329697,75.397396251,40.873878286,51.340123289,68.933300418,72.054889938,75.914288941,16.137088556,64.542176978,64.542176978,67.498715158,53.715767331,61.918886489,61.918886489,SME,35.457823022,60.607241244
9,59,20396.4417,179565.34709,216103.40896,122763195.54,601885.35504,179,0,0,77,2408.0034201,1,58.555156086,17.367705866,52.582040941,0.4751140485,66.673981911,82.370748324,96.195061109,0.5413949257,32.937494782,41.81964763,65.132288425,42.834967631,42.834967631,32.245004235,59.702401453,44.927457773,44.927457773,Retail,57.165032369,45.973702844
10,63,12628.980657,195578.07812,257961.9734,46747189.823,370158.06019,38,0,1,3,1480.6502407,1,74.415600393,98.72309803,59.905827628,32.201932487,17.788675823,99.78708229,7.5237591751,22.167282552,82.013586443,50.991334347,82.306156773,77.681508684,77.681508684,66.311614634,43.159374672,62.384165997,62.384165997,Corpor,22.318491316,54.735494653
11,33,23623.034813,469419.56662,746035.62873,99564133.373,421470.54415,289,1,0,82,1686.3741766,1,97.667853441,42.327396595,36.942219012,44.040815486,34.946144186,22.10569086,31.288494729,48.373353737,50.177925243,40.117990621,36.080504674,58.979156349,58.979156349,55.244571134,33.922513109,49.382080197,49.382080197,SME,41.020843651,44.583542121
12,50,14954.643738,469400.45337,767486.3979,177248776.27,1185242.3861,49,1,0,87,4741.4915443,1,49.022784643,75.506714266,32.810849533,26.999335457,0.3750408534,59.151178645,18.174370844,74.295589724,78.361705178,10.066987132,62.671773927,52.446782814,52.446782814,46.084920975,50.540379738,49.690694509,49.690694509,Retail,47.553217186,48.312650356
13,27,10169.62136,276666.16498,445548.21406,273949223.12,2693799.6353,294,1,0,88,10775.726541,1,3.8563696668,0.9549905779,45.893256785,33.677274827,17.538435734,48.648908525,78.29394869,94.493058929,11.282184836,83.174269414,90.789608564,16.90153901,16.90153901,21.095472964,73.811972048,37.269661341,37.269661341,Corpor,83.09846099,47.453722506
14,64,7730.2210976,84402.209485,141748.54547,27763062.355,359149.65439,249,0,0,73,1437.0366175,1,10.611991258,29.466031631,96.912914375,74.249794637,26.382197533,76.42605151,50.732258428,85.770591791,45.326445228,97.902988968,41.483228933,45.663645755,45.663645755,52.810182975,70.976300576,56.483376436,56.483376436,SME,54.336354245,61.893241776
15,50,26185.223205,224061.01483,362578.92783,240398002.41,918067.41735,256,1,1,14,3672.3536694,1,75.177166262,5.1164754899,52.274029609,6.115121115,17.141766148,27.194196288,53.33206919,16.603719699,37.084458396,39.688750659,68.198457058,44.189223787,44.189223787,34.670698119,32.376661726,37.078861211,37.078861211,Retail,55.810776213,33.523679922
16,63,15611.271218,232897.69681,372145.83951,85458250.453,547413.78367,166,0,0,83,2190.1531347,1,49.527991307,69.053119351,67.059864174,10.331221204,71.284802095,28.016956709,46.15158583,91.223134939,29.801179562,49.091514968,76.49295968,61.880324944,61.880324944,48.993049009,55.130559159,55.334644371,55.334644371,Corpor,38.119675056,52.061804084
17,61,15443.697817,75299.239892,123916.50028,42575476.859,275681.88243,33,0,0,77,1103.1895297,1,90.119742788,6.1088963179,13.719104626,14.782487415,84.278098424,69.514386333,16.992284334,45.159072732,20.431394991,91.457894258,5.2423214074,36.649247911,36.649247911,31.182557787,43.888581133,37.240128943,37.240128943,SME,63.350752089,37.53556946
18,33,14867.845569,69997.199986,121362.71287,133716920.15,899369.84841,253,1,0,73,3597.9173936,1,17.40280746,30.667879898,51.032827445,31.918088044,49.513053149,12.195585482,48.962639598,59.213824058,65.045213443,43.813991034,47.916515009,33.034504935,33.034504935,32.755400712,40.124016379,35.304640675,35.304640675,Retail,66.965495065,36.439708546
