cust_id,region,sector,loan_amount,flood_risk_raw,storm_risk_raw,drought_risk_raw,heat_stress_raw,flood_index_100,storm_index_100,drought_index_100,heat_index_100,flood_score_1000,storm_score_1000,drought_score_1000,heat_score_1000,hazard_index_100,hazard_score_1000
1,Gulf_Coast_Urban,Banking,50000.0,0.002178,0.877697,0.227776,1.919977,26.503909,97.212131,32.322927,70.998855,265.039089,972.12131,323.229271,709.988546,56.759455,567.594554
2,South_Asia_Coast,Agriculture,50000.0,0.001076,0.521671,0.148135,1.734266,5.304377,52.708893,17.842736,61.713324,53.043767,527.088935,178.427358,617.133239,34.392332,343.923325
3,South_Asia_Coast,Steel,420329.0,0.003115,0.660637,0.053823,0.857676,44.519296,70.079622,0.695033,17.883802,445.19296,700.796223,6.95033,178.838024,33.294438,332.944384
4,SE_Asia_StormBel,RealEstate,50000.0,0.004645,0.63888,0.222009,1.586712,73.947053,67.360037,31.274319,54.335606,739.47053,673.600366,312.743195,543.356061,56.729254,567.292538
5,EastAfrica_Droug,AutoManufacturing,50000.0,0.005004,0.88471,0.131578,1.066202,80.849334,98.088793,14.83241,28.310115,808.49334,980.887929,148.324102,283.101153,55.520163,555.201631
6,EastAfrica_Droug,Retail,63843.0,0.005907,0.544532,0.455977,1.640577,98.220215,55.566528,73.813962,57.028845,982.202149,555.665279,738.139615,570.288445,71.157387,711.573872
7,EastAfrica_Droug,Retail,50000.0,0.001785,0.568396,0.466151,0.751007,18.940768,58.549443,75.663776,12.550354,189.407684,585.494427,756.637764,125.503544,41.426085,414.260855
8,South_Asia_Coast,Retail,50000.0,0.002328,0.340056,0.505363,0.963932,29.379485,30.007018,82.793248,23.196576,293.79485,300.070177,827.932483,231.965759,41.344082,413.440817
9,SE_Asia_StormBel,Banking,259764.0,0.003969,0.600894,0.052993,2.117445,60.94905,62.611784,0.544166,80.872259,609.490498,626.117836,5.441664,808.722593,51.244315,512.443148
10,South_Asia_Coast,AutoManufacturing,79736.0,0.005019,0.70618,0.243316,1.310541,81.13437,75.772442,35.148346,40.527054,811.343697,757.724422,351.483463,405.270544,58.145553,581.455531
