cust_id,age,income_monthly,sector,employment_type,loan_type,loan_amt,ltv_ratio,loan_tenure_months,interest_rate,bureau_score,dpd_12m_max,dpd_30_plus_count,utilization_ratio,installment_to_income,region,flood_risk_index,heatwave_days,storm_severity_index,drought_severity_index,sea_level_rise_mm,co2_intensity_sector,carbon_tax_exposure,energy_price_shock,ev_transition_risk,climate_hazard_score,transition_risk_score,climate_total_score,climate_pd_uplift,default_flag
1,44.0,13200,Services,Salaried,Mortgage,543380,0.662,300,0.0792,819,0,0,0.046,0.9,Inland_Hot,39.49,48.7,4.74,5.98,3.22,0.438,2.22,9.81,2.57,1.984,7.576,4.221,0.885,0
2,43.0,13790,Manufacturing,Salaried,SME,403350,0.694,93,0.0426,751,0,0,0.315,0.9,Inland_Hot,32.78,65.1,2.48,6.03,1.21,0.894,3.97,11.66,1.93,1.967,10.514,5.386,1.327,0
3,25.0,9360,Construction,Salaried,Auto,54220,0.844,84,0.0819,735,1,1,0.435,0.9,Coastal_Low,42.4,36.6,4.51,2.69,9.48,0.779,3.8,6.76,5.85,1.977,10.917,5.553,1.391,0
4,37.0,10420,Services,Salaried,Auto,90050,0.522,77,0.0663,518,4,4,0.318,0.9,Coastal_High,84.09,64.7,12.65,0.47,13.78,0.369,2.04,4.68,9.72,3.678,9.974,6.196,1.635,1
5,49.0,14570,Construction,Salaried,Mortgage,592840,0.696,241,0.0633,623,1,0,0.251,0.9,Inland_Hot,39.68,51.6,5.92,7.61,1.67,0.727,3.43,8.41,2.84,2.04,9.148,4.883,1.137,0
6,31.0,26020,Services,Salaried,Mortgage,663140,0.714,219,0.061,705,0,0,0.559,0.9,Inland_Normal,26.41,41.2,2.52,4.71,0.71,0.133,0.13,4.81,1.0,1.418,2.548,1.87,0.7,0
7,36.0,18180,Transport,Salaried,Mortgage,608420,0.543,176,0.087,822,0,0,0.337,0.9,Coastal_Low,42.59,33.8,0.24,0.07,14.46,0.895,4.82,4.91,1.65,1.939,9.004,4.765,1.092,0
8,62.0,8000,Manufacturing,Salaried,SME,307080,0.834,93,0.0597,720,1,1,0.525,0.9,Inland_Normal,22.33,34.7,3.12,4.75,1.44,0.975,4.6,6.4,2.53,1.248,10.039,4.765,1.092,0
9,43.0,18070,Services,Salaried,Auto,121840,0.445,86,0.0645,578,3,3,0.525,0.9,Coastal_Low,41.02,26.7,4.95,6.45,12.76,0.355,1.4,3.81,8.66,1.94,8.525,4.574,1.019,0
10,38.0,15250,Manufacturing,Salaried,Auto,108840,0.694,64,0.057,657,0,0,0.573,0.9,Coastal_Low,64.24,37.7,8.03,0.01,5.96,0.312,1.6,11.02,10.0,2.481,11.525,6.098,1.598,0
11,36.0,11640,Construction,Contract,Mortgage,1156350,0.716,243,0.0654,648,3,2,0.431,0.9,Coastal_Low,69.96,15.2,9.41,4.12,6.47,0.747,3.87,0.0,1.0,2.388,5.934,3.807,0.728,0
12,43.0,12590,Manufacturing,Salaried,SME,543740,0.892,84,0.0678,841,1,1,0.419,0.9,Coastal_Low,42.75,45.0,9.36,2.94,8.32,0.755,3.81,9.79,2.15,2.184,9.541,5.126,1.229,0
13,45.0,18300,Manufacturing,Self-Employed,SME,365300,0.804,84,0.071,744,1,0,0.726,0.9,Coastal_Low,30.67,20.7,7.23,1.78,5.8,0.76,4.21,7.54,1.0,1.394,8.511,4.241,0.893,0
14,25.0,8000,Construction,Contract,Mortgage,788410,0.502,183,0.0706,584,2,2,0.499,0.9,Coastal_Low,36.29,47.0,14.79,0.91,3.99,0.521,2.55,7.57,2.31,2.022,7.255,4.115,0.845,0
15,25.0,11580,Construction,Salaried,Mortgage,552900,0.61,235,0.0506,591,0,0,0.849,0.9,Inland_Normal,26.95,37.9,5.13,4.04,0.86,1.041,5.0,8.28,1.33,1.426,10.403,5.017,1.188,0
16,32.0,9490,Transport,Salaried,Mortgage,802820,0.537,222,0.0357,765,3,2,0.419,0.9,Coastal_High,86.02,19.4,5.55,1.69,13.64,0.708,3.58,10.24,3.81,2.919,10.341,5.888,1.518,0
17,39.0,10900,Services,Salaried,Mortgage,962600,0.708,300,0.0667,766,0,0,0.866,0.9,Coastal_Low,51.21,21.9,5.14,0.0,9.49,0.464,2.31,9.12,2.1,1.949,7.236,4.064,0.826,0
18,41.0,17110,Transport,Salaried,Auto,129640,0.628,93,0.092,695,0,0,0.175,0.9,Coastal_Low,37.02,29.9,13.1,2.1,11.74,1.001,5.0,11.79,10.0,1.961,16.539,7.792,2.0,0
19,26.0,15300,Services,Salaried,Mortgage,834720,0.694,153,0.0606,689,1,1,0.443,0.9,Coastal_Low,40.74,22.1,9.13,4.36,13.26,0.409,2.43,4.59,3.12,1.93,6.423,3.727,0.7,0
20,38.0,19620,Manufacturing,Self-Employed,Mortgage,845720,0.588,187,0.0522,731,0,0,0.589,0.9,Coastal_High,72.0,20.6,11.17,2.16,13.98,0.855,4.63,12.7,1.1,2.715,10.742,5.925,1.532,0
21,39.0,8000,Construction,Salaried,Auto,50000,0.634,49,0.0397,735,0,0,0.333,0.9,Inland_Normal,22.91,29.3,3.38,4.09,0.96,0.857,4.62,10.76,8.3,1.165,14.478,6.49,1.747,0
22,33.0,13460,Construction,Contract,Mortgage,442830,0.81,276,0.0447,635,2,2,0.856,0.9,Inland_Normal,20.36,41.2,3.46,4.66,0.91,0.558,3.47,5.06,3.3,1.29,7.948,3.953,0.784,0
23,36.0,14370,Construction,Self-Employed,Mortgage,1127510,0.811,205,0.0711,670,0,0,0.254,0.9,Coastal_High,65.19,31.2,10.9,5.58,14.54,0.669,4.22,2.33,2.68,2.763,7.695,4.736,1.081,0
24,34.0,8000,Services,Salaried,Mortgage,812090,0.604,189,0.0387,656,2,2,0.589,0.9,Inland_Normal,32.22,48.0,4.9,3.02,0.4,0.564,2.93,8.39,3.15,1.68,8.44,4.384,0.947,0
25,44.0,11390,Services,Salaried,Auto,151750,0.433,105,0.0782,639,1,0,0.203,0.9,Coastal_High,61.11,32.0,11.18,3.41,15.21,0.52,3.43,9.47,4.49,2.663,9.84,5.533,1.384,0
26,40.0,14870,Construction,Salaried,Auto,95090,0.853,54,0.0414,666,1,0,0.435,0.9,Inland_Hot,13.64,59.3,1.96,7.43,2.83,0.647,2.7,5.69,10.0,1.452,11.808,5.595,1.407,0
27,31.0,17050,Manufacturing,Salaried,Mortgage,574830,0.715,244,0.0855,709,1,1,0.419,0.9,Coastal_Low,42.34,27.4,7.35,0.95,15.23,0.882,4.77,9.57,1.69,2.012,10.352,5.348,1.313,0
28,48.0,17240,Manufacturing,Salaried,Auto,119970,0.644,58,0.0872,794,0,0,0.261,0.9,Inland_Hot,22.44,49.1,6.58,6.6,0.63,0.794,3.34,15.51,10.0,1.544,15.705,7.208,2.0,0
29,29.0,8000,Manufacturing,Self-Employed,Auto,100890,0.582,86,0.048,613,0,0,0.809,0.9,Coastal_High,84.73,23.8,8.98,2.67,12.16,0.822,4.36,9.58,9.62,2.999,14.603,7.64,2.0,1
30,26.0,11660,Manufacturing,Salaried,Mortgage,873290,0.683,216,0.0406,670,2,2,0.223,0.9,Inland_Normal,22.04,34.1,4.72,4.13,0.69,1.132,5.0,4.79,2.43,1.236,10.287,4.856,1.127,0
31,38.0,8140,Services,Salaried,Auto,149970,0.702,58,0.0747,787,0,0,0.104,0.9,Coastal_Low,29.46,30.5,7.12,4.28,4.69,0.419,2.36,5.79,10.0,1.517,10.885,5.264,1.281,0
32,38.0,14960,Manufacturing,Self-Employed,Mortgage,775990,0.803,152,0.0759,638,1,1,0.301,0.9,Coastal_High,73.56,45.2,9.68,2.08,13.25,0.721,4.09,11.87,1.24,3.073,9.741,5.74,1.462,0
33,41.0,12620,Services,Salaried,Mortgage,930620,0.98,103,0.0638,498,1,1,0.494,0.9,Coastal_Low,32.81,40.1,6.71,0.0,12.56,0.233,0.77,12.84,1.81,1.869,6.256,3.624,0.7,0
34,31.0,11680,Construction,Salaried,SME,252290,0.646,108,0.0715,747,0,0,0.148,0.9,Coastal_High,72.06,19.3,15.27,2.98,14.41,0.8,4.73,8.62,1.9,2.802,9.91,5.645,1.426,0
35,47.0,40000,Manufacturing,Salaried,SME,380210,0.876,102,0.0606,815,0,0,0.156,0.9,Coastal_Low,21.8,33.8,5.04,4.26,10.39,0.664,3.35,10.56,2.54,1.476,9.369,4.633,1.042,0
36,54.0,9850,Services,Salaried,SME,397430,0.657,121,0.0449,650,0,0,0.263,0.9,Coastal_High,76.39,12.6,12.5,2.31,10.41,0.358,1.74,3.46,1.0,2.644,4.109,3.23,0.7,0
37,40.0,14900,Services,Self-Employed,Mortgage,1538910,0.664,300,0.0721,752,1,1,0.719,0.9,Inland_Hot,14.82,51.1,3.14,10.0,0.9,0.446,2.46,9.1,3.66,1.372,8.235,4.117,0.846,0
38,43.0,18160,Manufacturing,Contract,Mortgage,713020,0.494,277,0.0739,707,0,0,0.536,0.9,Coastal_Low,57.37,29.3,2.69,3.16,11.76,0.681,3.89,7.88,1.84,2.269,8.622,4.81,1.109,0
39,25.0,17310,Transport,Salaried,Auto,97350,0.52,42,0.0558,590,1,0,0.358,0.9,Coastal_High,69.06,40.4,5.6,0.0,7.68,1.2,5.0,6.63,10.0,2.636,15.589,7.817,2.0,0
40,37.0,18900,Manufacturing,Salaried,Mortgage,1086370,0.491,300,0.0479,757,0,0,0.364,0.9,Inland_Normal,20.88,37.4,4.55,5.58,0.88,0.67,2.9,8.2,1.93,1.28,7.948,3.947,0.781,0
41,34.0,17290,Manufacturing,Salaried,Mortgage,817990,0.869,143,0.0638,770,2,1,0.447,0.9,Coastal_Low,41.0,41.1,4.1,6.35,10.38,0.774,3.78,7.27,1.66,2.078,8.522,4.656,1.05,0
42,33.0,13140,Services,Self-Employed,Auto,51440,0.786,72,0.0496,663,1,0,0.411,0.9,Coastal_High,76.14,27.2,11.35,2.35,8.19,0.651,3.05,3.81,6.24,2.778,9.282,5.38,1.325,0
43,35.0,15070,Services,Self-Employed,Mortgage,802600,0.911,300,0.0391,742,3,2,0.35,0.9,Coastal_Low,39.03,28.0,12.0,3.65,7.3,0.388,2.46,6.02,2.16,1.873,6.229,3.616,0.7,0
44,36.0,11540,Construction,Salaried,SME,383570,0.558,89,0.0669,625,2,1,0.636,0.9,Coastal_Low,28.66,38.1,9.6,2.47,10.4,0.424,1.96,8.87,2.65,1.777,7.088,3.902,0.764,0
45,28.0,11150,Manufacturing,Salaried,Mortgage,1213950,0.691,232,0.0656,712,1,0,0.267,0.9,Coastal_High,77.91,18.3,15.82,3.67,8.89,0.707,3.04,9.33,2.73,2.817,8.987,5.285,1.289,0
46,36.0,8850,Transport,Contract,Auto,142410,0.678,68,0.0763,720,1,1,0.194,0.9,Coastal_High,81.91,37.5,7.17,1.15,18.12,1.102,5.0,9.0,8.67,3.224,15.207,8.017,2.0,0
47,32.0,20550,Construction,Salaried,Mortgage,945440,0.709,129,0.0693,680,2,1,0.199,0.9,Inland_Normal,32.87,43.4,3.02,2.87,0.97,0.457,1.95,5.03,4.49,1.601,7.131,3.813,0.73,0
48,46.0,23330,Manufacturing,Self-Employed,Auto,56350,0.562,66,0.1003,588,0,0,0.619,0.9,Coastal_Low,42.16,28.3,0.0,2.55,9.63,0.807,3.63,9.18,10.0,1.758,14.081,6.687,1.821,1
49,43.0,11860,Services,Self-Employed,Auto,113020,0.828,88,0.0758,691,1,1,0.299,0.9,Inland_Normal,13.69,28.6,6.07,5.45,0.48,0.507,2.41,4.55,5.94,0.986,8.378,3.943,0.78,0
50,43.0,14540,Transport,Salaried,Mortgage,1303090,0.586,284,0.0681,715,0,0,0.029,0.9,Coastal_Low,43.28,27.6,10.75,2.22,8.29,1.118,5.0,3.56,2.01,1.951,9.63,5.023,1.19,0
51,48.0,28440,Manufacturing,Self-Employed,SME,307450,0.663,51,0.0686,602,1,1,0.376,0.9,Coastal_High,67.66,54.4,12.28,4.06,15.56,0.868,3.48,11.11,3.3,3.203,10.702,6.202,1.638,0
52,33.0,23500,Services,Salaried,Auto,163590,0.884,35,0.0676,759,3,3,0.97,0.9,Inland_Normal,15.02,41.3,5.61,5.01,0.38,0.593,3.65,6.26,8.16,1.192,11.474,5.305,1.297,0
53,42.0,21420,Services,Contract,SME,364000,0.745,115,0.0497,636,0,0,0.193,0.9,Inland_Hot,17.22,67.4,5.89,8.85,2.67,0.451,2.87,3.53,1.66,1.759,5.704,3.337,0.7,0
54,49.0,16710,Construction,Salaried,SME,265260,0.834,67,0.0631,661,0,0,0.283,0.9,Coastal_High,78.46,23.1,8.99,2.01,13.72,0.696,3.9,11.8,1.0,2.861,9.347,5.455,1.354,0
55,33.0,11670,Services,Salaried,Auto,143000,0.708,74,0.0733,584,0,0,0.454,0.9,Inland_Hot,22.45,68.6,6.17,8.96,2.06,0.463,2.15,8.4,8.79,1.9,10.904,5.502,1.372,0
56,25.0,12210,Transport,Salaried,SME,386730,0.846,90,0.0931,722,0,0,0.734,0.9,Coastal_Low,46.55,32.8,9.35,1.18,3.81,0.642,2.95,11.02,1.71,1.955,8.626,4.623,1.038,0
57,34.0,16480,Manufacturing,Self-Employed,Mortgage,887130,0.776,196,0.0725,892,1,1,0.211,0.9,Coastal_Low,43.8,25.8,5.86,1.12,0.94,0.748,3.34,7.74,2.14,1.639,8.521,4.392,0.95,0
58,48.0,17880,Manufacturing,Salaried,Mortgage,1241400,0.471,300,0.0508,651,0,0,0.177,0.9,Inland_Normal,31.52,29.3,0.0,3.2,0.08,0.861,4.21,6.0,2.91,1.277,9.496,4.565,1.016,0
59,32.0,10180,Transport,Salaried,Mortgage,816340,0.533,169,0.0608,621,1,1,0.844,0.9,Inland_Hot,22.13,58.5,4.48,8.16,2.28,1.007,4.81,11.89,2.44,1.7,11.899,5.779,1.477,0
60,36.0,24690,Services,Salaried,Mortgage,728700,0.602,299,0.0814,652,0,0,0.548,0.9,Inland_Hot,26.72,49.4,2.77,6.97,1.46,0.445,2.79,9.39,1.0,1.605,6.986,3.758,0.709,0
61,34.0,26340,Construction,Salaried,Mortgage,1009410,0.712,143,0.0474,689,2,2,0.787,0.9,Inland_Normal,22.43,24.3,7.5,2.4,1.88,0.853,3.89,7.59,2.05,1.158,9.178,4.366,0.94,0
62,38.0,20610,Services,Self-Employed,Mortgage,929560,0.603,223,0.0602,719,0,0,0.515,0.9,Coastal_Low,60.15,17.9,8.14,1.94,9.28,0.48,3.07,4.06,1.7,2.195,6.132,3.77,0.714,0
63,32.0,27370,Services,Salaried,SME,211760,0.862,111,0.0592,765,0,0,0.255,0.9,Inland_Normal,23.54,36.8,2.52,3.55,1.95,0.385,2.26,9.41,3.15,1.293,7.682,3.849,0.744,0
64,28.0,19360,Services,Self-Employed,Mortgage,565570,0.787,287,0.0829,746,2,2,0.49,0.9,Coastal_High,77.73,16.8,8.79,6.85,10.94,0.11,0.0,2.41,1.73,2.747,2.087,2.483,0.7,1
65,36.0,16740,Transport,Self-Employed,Mortgage,949770,0.704,300,0.0562,644,1,0,0.616,0.9,Inland_Normal,16.63,31.7,4.76,4.34,0.79,0.711,3.36,10.57,2.42,1.071,9.443,4.42,0.961,1
66,38.0,15310,Construction,Contract,Auto,121130,0.738,62,0.0817,717,0,0,0.322,0.9,Coastal_High,59.1,13.7,11.24,3.16,6.95,0.881,4.52,9.28,9.98,2.129,15.036,7.291,2.0,0
67,49.0,13210,Construction,Self-Employed,Mortgage,709600,0.899,101,0.0618,543,1,1,0.7,0.9,Inland_Hot,18.84,68.4,4.65,5.54,2.98,0.9,5.0,5.76,1.29,1.748,9.204,4.73,1.079,0
68,41.0,14970,Services,Salaried,SME,232750,0.536,128,0.0631,623,0,0,0.156,0.9,Inland_Normal,16.13,26.0,2.4,2.27,1.07,0.495,2.11,7.62,1.13,0.902,6.144,2.999,0.7,0
69,31.0,9890,Construction,Salaried,Mortgage,1104220,0.83,262,0.0693,621,3,3,0.363,0.9,Inland_Normal,14.31,44.0,4.19,3.59,0.94,0.744,2.84,1.99,2.09,1.179,6.353,3.248,0.7,0
70,34.0,14510,Services,Contract,SME,644550,0.76,74,0.0616,671,0,0,0.592,0.9,Inland_Hot,16.27,44.6,6.17,5.26,1.23,0.439,2.83,6.15,2.44,1.308,6.894,3.543,0.7,0
71,46.0,9400,Construction,Contract,Auto,122740,0.98,43,0.0752,531,4,4,0.58,0.9,Coastal_High,67.92,32.9,9.94,1.85,7.93,0.529,2.27,6.27,7.96,2.616,10.059,5.593,1.406,0
72,37.0,10890,Manufacturing,Salaried,Mortgage,734040,0.857,297,0.035,743,0,0,0.22,0.9,Inland_Normal,24.44,36.7,5.89,3.69,0.84,1.022,4.67,12.21,1.81,1.355,11.552,5.434,1.346,0
73,31.0,24520,Construction,Contract,Mortgage,809020,0.768,205,0.0454,597,0,0,0.392,0.9,Inland_Normal,17.2,32.5,4.61,3.79,0.66,0.577,3.17,9.32,3.15,1.084,8.952,4.231,0.889,0
74,41.0,24070,Services,Self-Employed,SME,271820,0.705,87,0.0637,730,4,4,0.555,0.9,Inland_Normal,15.84,39.8,6.84,3.47,1.42,0.339,2.48,7.3,1.87,1.217,6.315,3.256,0.7,0
75,34.0,10730,Services,Contract,Auto,78000,0.804,98,0.074,786,0,0,0.405,0.9,Inland_Normal,31.19,51.5,4.69,6.08,0.97,0.374,1.72,5.73,7.38,1.762,8.641,4.514,0.997,0
76,44.0,21240,Construction,Self-Employed,Auto,136380,0.614,56,0.0732,871,0,0,0.576,0.9,Inland_Normal,24.3,28.3,0.0,3.15,1.2,0.782,3.76,6.85,8.75,1.109,12.659,5.729,1.458,0
77,43.0,11850,Manufacturing,Contract,Auto,139730,0.512,42,0.0743,546,1,1,0.314,0.9,Coastal_High,59.44,5.0,12.16,0.9,8.39,0.964,5.0,11.42,10.0,2.027,16.319,7.744,2.0,0
78,31.0,11500,Construction,Contract,Mortgage,643750,0.741,209,0.0525,749,0,0,0.245,0.9,Coastal_Low,45.84,36.5,9.11,0.76,8.57,0.87,4.23,10.13,1.0,2.101,9.636,5.115,1.225,0
79,54.0,26180,Services,Salaried,Mortgage,1151110,0.765,96,0.0465,654,1,1,0.487,0.9,Inland_Normal,22.95,35.6,2.56,4.29,0.95,0.371,1.34,9.65,2.83,1.247,6.777,3.459,0.7,0
80,39.0,9680,Construction,Contract,Mortgage,1006890,0.562,253,0.0649,718,2,2,0.741,0.9,Coastal_Low,58.09,30.6,8.48,2.86,8.21,0.669,3.42,13.9,1.8,2.329,9.99,5.394,1.331,0
81,25.0,8000,Services,Salaried,SME,409570,0.501,36,0.0521,650,0,0,0.556,0.9,Inland_Normal,15.51,52.8,4.14,4.46,1.58,0.592,4.52,10.91,3.52,1.368,10.775,5.131,1.231,0
82,43.0,11490,Services,Salaried,Auto,128460,0.789,70,0.078,612,0,0,0.39,0.9,Inland_Normal,15.02,31.6,2.05,4.55,1.35,0.329,0.93,2.26,9.73,0.993,8.253,3.897,0.762,0
83,25.0,11790,Manufacturing,Self-Employed,Mortgage,1469090,0.809,229,0.0494,684,0,0,0.711,0.9,Coastal_High,61.71,32.2,8.75,2.89,14.11,0.869,4.53,5.04,2.46,2.596,9.217,5.245,1.274,0
84,48.0,12920,Services,Self-Employed,Mortgage,1215060,0.63,199,0.0464,711,0,0,0.682,0.9,Inland_Hot,24.06,60.0,6.18,6.56,1.03,0.409,2.61,4.62,2.77,1.749,6.36,3.594,0.7,0
85,40.0,8000,Manufacturing,Contract,Mortgage,789680,0.548,209,0.0792,812,0,0,0.104,0.9,Inland_Normal,19.19,36.9,4.0,4.6,1.26,0.641,2.4,4.02,1.0,1.213,5.648,2.987,0.7,0
86,39.0,17260,Services,Salaried,Mortgage,512310,0.87,182,0.0674,563,2,2,0.459,0.9,Inland_Normal,17.5,43.4,4.04,5.27,0.59,0.678,3.59,4.09,1.6,1.263,7.089,3.593,0.7,0
87,39.0,32030,Manufacturing,Salaried,Auto,120400,0.837,56,0.0628,672,0,0,0.679,0.9,Inland_Normal,17.07,34.2,4.71,5.74,1.41,0.665,3.41,9.38,9.12,1.156,13.007,5.896,1.521,0
88,44.0,16920,Manufacturing,Salaried,Auto,114290,0.741,19,0.0787,586,0,0,0.199,0.9,Inland_Hot,35.79,46.3,5.99,8.52,2.66,0.7,3.77,8.65,7.1,1.903,11.966,5.929,1.534,0
89,35.0,13730,Services,Salaried,SME,106340,0.98,92,0.0455,637,2,2,0.472,0.9,Inland_Hot,26.49,57.8,5.4,7.17,0.48,0.476,2.66,3.56,1.97,1.757,5.81,3.378,0.7,0
90,39.0,19600,Construction,Self-Employed,Auto,151630,0.771,55,0.0571,721,0,0,0.488,0.9,Coastal_Low,56.07,34.8,9.3,2.68,8.71,0.73,3.33,1.9,5.85,2.369,8.938,4.996,1.18,0
91,40.0,15460,Services,Salaried,Mortgage,743110,0.717,260,0.0754,653,3,2,0.267,0.9,Inland_Normal,17.7,35.7,2.41,4.26,0.35,0.532,2.8,4.33,2.87,1.099,6.861,3.404,0.7,0
92,25.0,15350,Services,Salaried,Auto,95450,0.631,104,0.077,705,1,1,0.51,0.9,Inland_Hot,16.84,56.2,5.88,7.66,0.8,0.475,2.84,9.86,7.84,1.517,11.355,5.452,1.353,0
93,44.0,14510,Services,Salaried,Auto,66300,0.683,54,0.0663,802,0,0,0.267,0.9,Inland_Normal,33.51,28.3,4.62,5.49,0.59,0.456,1.98,5.67,10.0,1.452,10.657,5.134,1.232,0
94,45.0,16360,Construction,Self-Employed,Auto,156190,0.551,46,0.0477,628,0,0,0.171,0.9,Inland_Normal,13.33,27.1,5.35,3.12,1.13,0.636,3.04,3.11,10.0,0.921,11.27,5.061,1.204,0
