cust_id,region,sector,loan_amount,emissions_intensity_raw,transition_risk_raw,emissions_index_100,transition_index_100,emissions_score_1000,transition_score_1000,transition_combined_index_100,transition_combined_score_1000
1,Gulf_Coast_Urban,Banking,50000.0,0.416257,0.747188,16.645115,66.398839,166.451154,663.988391,46.49735,464.973496
2,South_Asia_Coast,Agriculture,50000.0,0.623502,0.408852,27.55273,34.176362,275.527296,341.76362,31.526909,315.269091
3,South_Asia_Coast,Steel,420329.0,0.168928,0.999277,3.627812,90.407334,36.27812,904.073342,55.695525,556.955253
4,SE_Asia_StormBel,RealEstate,50000.0,1.85319,0.891115,92.273159,80.106181,922.731593,801.061807,84.972972,849.729721
5,EastAfrica_Droug,AutoManufacturing,50000.0,0.537956,0.425705,23.050326,35.781422,230.50326,357.814223,30.688984,306.889838
6,EastAfrica_Droug,Retail,63843.0,1.503946,1.070901,73.891921,97.228639,738.91921,972.286394,87.893952,878.939521
7,EastAfrica_Droug,Retail,50000.0,0.887849,0.832177,41.465751,74.493095,414.657512,744.930947,61.282157,612.821573
8,South_Asia_Coast,Retail,50000.0,1.053769,0.845165,50.198382,75.729972,501.983823,757.299719,65.517336,655.17336
9,SE_Asia_StormBel,Banking,259764.0,1.120191,1.058365,53.694278,96.034804,536.942777,960.348045,79.098594,790.985938
10,South_Asia_Coast,AutoManufacturing,79736.0,1.568312,0.502203,77.27958,43.066965,772.795803,430.669649,56.752011,567.520111
11,EastAfrica_Droug,OilGas,131777.0,1.597035,0.093485,78.791304,4.141395,787.913043,41.413952,34.001359,340.013588
12,South_Asia_Coast,AutoManufacturing,210844.0,0.368419,1.090507,14.127294,99.095902,141.272939,990.959021,65.108459,651.084588
13,South_Asia_Coast,OilGas,70864.0,0.676353,1.03205,30.334344,93.528562,303.34344,935.285617,68.250875,682.508746
14,Gulf_Coast_Urban,Retail,50162.0,1.188774,1.064474,57.303882,96.616593,573.038817,966.165927,80.891508,808.915083
15,Gulf_Coast_Urban,Agriculture,50000.0,0.727772,0.547569,33.040608,47.387526,330.406076,473.875261,41.648759,416.487587
16,Gulf_Coast_Urban,Agriculture,50000.0,0.352319,0.222797,13.27993,16.456867,132.799304,164.568672,15.186092,151.860925
17,Gulf_Coast_Urban,OilGas,52575.0,0.876025,0.255604,40.843424,19.581345,408.434238,195.813454,28.086177,280.861767
18,SE_Asia_StormBel,Retail,50000.0,0.515005,0.546922,21.842393,47.325942,218.423934,473.259422,37.132523,371.325227
19,Gulf_Coast_Urban,AutoManufacturing,206113.0,0.3726,0.759157,14.347386,67.53875,143.473856,675.3875,46.262204,462.622042
20,Gulf_Coast_Urban,Agriculture,144616.0,0.677654,0.538401,30.402833,46.514398,304.028333,465.143981,40.069772,400.697722
21,SE_Asia_StormBel,OilGas,131720.0,0.669408,0.464318,29.968822,39.458903,299.688223,394.589035,35.662871,356.62871
22,EastAfrica_Droug,AutoManufacturing,54559.0,0.284675,1.061667,9.719735,96.349221,97.197348,963.492206,61.697426,616.974263
23,Gulf_Coast_Urban,Retail,50000.0,1.209823,0.7301,58.41175,64.771419,584.117498,647.714194,62.227552,622.275516
24,Gulf_Coast_Urban,Steel,173234.0,0.697253,0.477724,31.434373,40.735635,314.343732,407.356349,37.01513,370.151302
25,Gulf_Coast_Urban,Retail,78299.0,0.429246,0.774333,17.328714,68.984127,173.287142,689.841268,48.321962,483.219618
26,South_Asia_Coast,Banking,111131.0,1.655335,0.881346,81.859714,79.175784,818.597143,791.757842,80.249356,802.493562
27,Gulf_Coast_Urban,Retail,98263.0,0.104894,0.435752,0.257566,36.738246,2.575663,367.382465,22.145974,221.459744
28,SE_Asia_StormBel,AutoManufacturing,76765.0,0.963154,0.548841,45.429144,47.508635,454.291443,475.086353,46.676839,466.768389
29,SE_Asia_StormBel,AutoManufacturing,296467.0,0.926397,0.723963,43.4946,64.186957,434.945996,641.869569,55.910014,559.10014
30,EastAfrica_Droug,RealEstate,50000.0,1.375183,0.71947,67.11492,63.759034,671.149197,637.590335,65.101388,651.01388
31,SE_Asia_StormBel,RealEstate,50000.0,0.83986,0.234267,38.939991,17.549201,389.399909,175.492011,26.105517,261.05517
32,Gulf_Coast_Urban,AutoManufacturing,222554.0,1.074161,0.571816,51.271628,49.696784,512.716281,496.967836,50.326721,503.267214
33,EastAfrica_Droug,AutoManufacturing,63937.0,1.826057,0.322079,90.845119,25.912255,908.451194,259.122547,51.885401,518.854006
34,South_Asia_Coast,Steel,54136.0,0.419737,1.009272,16.828238,91.359197,168.282377,913.591974,61.546813,615.468135
35,South_Asia_Coast,Steel,50000.0,0.300465,0.571294,10.550771,49.64702,105.507714,496.470204,34.008521,340.085208
36,South_Asia_Coast,Retail,103099.0,1.518841,0.854923,74.675833,76.659365,746.758327,766.593648,75.865952,758.65952
37,Gulf_Coast_Urban,Banking,50000.0,1.511513,0.096333,74.29016,4.412623,742.9016,44.126235,32.363638,323.636381
38,EastAfrica_Droug,Agriculture,50000.0,1.847326,0.45069,91.964551,38.160967,919.645509,381.609671,59.682401,596.824006
39,South_Asia_Coast,Banking,101748.0,1.967998,0.216731,98.315707,15.879179,983.157067,158.791788,48.85379,488.537899
40,Gulf_Coast_Urban,Steel,64512.0,0.830333,0.462632,38.438571,39.298246,384.385712,392.982464,38.954376,389.543763
41,EastAfrica_Droug,Retail,50000.0,0.817112,0.884792,37.74272,79.503989,377.427204,795.039891,62.799482,627.994816
42,SE_Asia_StormBel,Banking,61428.0,1.818849,1.02326,90.46576,92.691433,904.657598,926.914334,91.801164,918.01164
43,EastAfrica_Droug,OilGas,182704.0,1.735352,1.012061,86.071151,91.624866,860.711512,916.248659,89.40338,894.0338
44,South_Asia_Coast,RealEstate,110442.0,0.813337,0.174815,37.544071,11.887159,375.440712,118.871592,22.149924,221.49924
45,Gulf_Coast_Urban,Banking,201669.0,0.244963,0.366604,7.629647,30.152741,76.296471,301.527412,21.143504,211.435036
46,South_Asia_Coast,Agriculture,50000.0,1.204326,0.743394,58.122404,66.03757,581.224042,660.375698,62.871504,628.715036
47,Gulf_Coast_Urban,Retail,140953.0,0.61053,0.263716,26.869995,20.353873,268.699947,203.538734,22.960322,229.603219
48,SE_Asia_StormBel,Banking,50000.0,1.82633,0.103996,90.859487,5.142522,908.594875,51.425225,39.429308,394.293085
49,SE_Asia_StormBel,AutoManufacturing,50000.0,1.631623,1.051367,80.611724,95.368301,806.117243,953.683007,89.46567,894.656701
50,Gulf_Coast_Urban,OilGas,50000.0,1.81185,0.395974,90.09736,32.949904,900.973603,329.499044,55.808887,558.088867
51,South_Asia_Coast,RealEstate,66511.0,0.253737,0.490911,8.0914,41.991483,80.914001,419.914831,28.43145,284.314499
52,South_Asia_Coast,OilGas,136266.0,1.742764,0.336096,86.461282,27.247195,864.612825,272.471953,50.93283,509.328302
53,South_Asia_Coast,Retail,76752.0,1.226863,0.391461,59.308588,32.520109,593.085884,325.20109,43.235501,432.355008
54,South_Asia_Coast,Steel,52964.0,0.50931,1.062251,21.542642,96.404891,215.426423,964.048907,66.459991,664.599913
55,SE_Asia_StormBel,RealEstate,50000.0,0.672398,0.251373,30.126213,19.178373,301.26213,191.78373,23.557509,235.57509
56,South_Asia_Coast,OilGas,105268.0,0.967607,0.569679,45.663513,49.493197,456.635128,494.931972,47.961323,479.613234
57,EastAfrica_Droug,Steel,129430.0,1.292524,0.720047,62.7644,63.813962,627.643995,638.139621,63.394137,633.941371
58,Gulf_Coast_Urban,Agriculture,76011.0,0.542182,0.285599,23.272755,22.437953,232.727546,224.379528,22.771874,227.718735
59,EastAfrica_Droug,Retail,50000.0,0.493381,0.801414,20.704267,71.563272,207.042669,715.632719,51.21967,512.196699
60,Gulf_Coast_Urban,Retail,114344.0,1.795105,0.766599,89.216071,68.247562,892.160708,682.47562,76.634966,766.349655
61,Gulf_Coast_Urban,RealEstate,159819.0,1.705922,1.052486,84.522206,95.474841,845.222055,954.748409,91.093787,910.937868
62,Gulf_Coast_Urban,OilGas,204110.0,1.556876,0.533384,76.677683,46.036571,766.776835,460.365711,58.293016,582.93016
63,South_Asia_Coast,Agriculture,50000.0,1.545692,0.453932,76.089073,38.46975,760.890731,384.697498,53.517479,535.174791
64,Gulf_Coast_Urban,AutoManufacturing,84884.0,1.55535,0.429143,76.597386,36.108819,765.973864,361.088187,52.304246,523.042458
65,Gulf_Coast_Urban,RealEstate,50000.0,1.85579,0.432535,92.409981,36.43187,924.099814,364.318701,58.823115,588.231146
66,SE_Asia_StormBel,AutoManufacturing,50000.0,1.703069,0.089526,84.372039,3.764386,843.720395,37.643864,36.007448,360.074476
67,EastAfrica_Droug,RealEstate,212472.0,0.838291,0.298032,38.857421,23.622049,388.574212,236.220492,29.716198,297.16198
68,South_Asia_Coast,OilGas,94057.0,0.995475,0.176043,47.130248,12.004115,471.302481,120.041153,26.054568,260.545684
69,EastAfrica_Droug,Agriculture,168417.0,1.24867,0.974637,60.456327,88.060668,604.56327,880.606676,77.018931,770.189314
70,South_Asia_Coast,OilGas,50000.0,1.003639,0.109027,47.55997,5.621615,475.599705,56.216151,22.396957,223.969573
71,South_Asia_Coast,Retail,75413.0,0.66418,0.433461,29.693706,36.52012,296.937061,365.201198,33.789554,337.895543
72,Gulf_Coast_Urban,AutoManufacturing,89917.0,1.736185,0.280388,86.115008,21.941711,861.150079,219.417114,47.61103,476.1103
73,EastAfrica_Droug,Steel,50000.0,1.626554,0.727873,80.344922,64.559313,803.449219,645.593127,70.873556,708.735564
74,South_Asia_Coast,Banking,196864.0,0.840733,0.392657,38.98594,32.633984,389.8594,326.339844,35.174767,351.747666
75,South_Asia_Coast,Retail,50000.0,0.317867,0.067427,11.46666,1.659748,114.666601,16.597476,5.582513,55.825126
76,South_Asia_Coast,Retail,86069.0,0.109252,0.988528,0.486956,89.383663,4.869564,893.836627,53.82498,538.249802
77,South_Asia_Coast,AutoManufacturing,50000.0,0.275648,0.718265,9.244613,63.644326,92.446129,636.44326,41.884441,418.844408
78,EastAfrica_Droug,RealEstate,50000.0,0.394012,0.051448,15.474318,0.137934,154.743182,1.379339,6.272488,62.724876
79,Gulf_Coast_Urban,Retail,124299.0,1.349803,0.763659,65.779088,67.967563,657.790879,679.675629,67.092173,670.921729
