cust_id,segment,facility_type,limit_amt,current_balance,util_ratio,util_change_12m,undrawn_amt,obs_ccf,ead_at_default,dpd_12m_max,high_risk_flag,default_flag,secured_flag,revolving_flag,util_ratio_12m_ago,util_ratio_6m_ago,util_max_12m,util_min_12m,util_vol_12m,undrawn_ratio,limit_bucket,obs_ccf_capped,obs_ccf_high_flag,dpd_ever_30plus,high_risk_dpd_flag,segment_stress_scale,ccf_baseline,ccf_ttc,ccf_pit,ead_current,ead_ttc,ead_stressed_up,ead_stressed_down,high_util_flag,low_util_flag,ccf_gap,new_to_bank_flag,refinance_flag,sector_code
1,SME,Overdraft,283225,129637,0.458,-0.235,153588,0.394,190195,30,0,0,0,1,0.6930000000000001,0.5755,0.6930000000000001,0.458,0.11750000000000002,0.5422826374790362,L3_200_500k,0.394,0,1,0,1.2,0.8,0.74,0.5564,129637,357219.0355329949,235841.8,167371.6,0,0,-0.406,0,0,MANUFACTURING
2,SME,Revolver,171044,127854,0.747,-0.016,43189,0.621,154688,30,0,1,0,1,0.763,0.755,0.763,0.747,0.008000000000000007,0.2525022801150581,L2_50_200k,0.621,0,1,0,1.2,0.8,0.74,0.6926000000000001,127854,184330.30595813203,191813.12,136125.44,0,0,-0.17900000000000005,0,0,MANUFACTURING
3,Retail,CreditLine,57887,13178,0.228,0.055,44709,0.671,43179,0,0,0,0,1,0.17300000000000001,0.2005,0.228,0.17300000000000001,0.027499999999999997,0.7723495776253736,L2_50_200k,0.671,0,0,0,1.0,0.5,0.53,0.6026,13178,34105.61847988077,51814.799999999996,38861.1,0,0,0.17100000000000004,0,0,SERVICES
4,Retail,Overdraft,56230,23244,0.413,-0.096,32986,0.2,29843,0,0,0,0,1,0.509,0.46099999999999997,0.509,0.413,0.048000000000000015,0.5866263560377023,L2_50_200k,0.2,0,0,0,1.0,0.75,0.7049999999999998,0.42000000000000004,23244,105196.57499999997,35811.6,26858.7,0,0,-0.55,0,0,SERVICES
5,Retail,CreditLine,55583,8357,0.15,-0.07,47226,0.293,22210,0,0,0,0,1,0.22,0.185,0.22,0.15,0.035,0.8496482737527661,L2_50_200k,0.293,0,0,0,1.0,0.5,0.53,0.3758,8357,40175.08532423209,26652.0,19989.0,0,1,-0.20700000000000002,1,0,SERVICES
6,Retail,Revolver,117561,27868,0.237,-0.049,89692,0.432,66583,30,0,0,0,1,0.286,0.26149999999999995,0.286,0.237,0.024499999999999994,0.7629400906763297,L2_50_200k,0.432,0,1,0,1.0,0.8,0.74,0.5792,27868,114054.21296296296,79899.59999999999,59924.700000000004,0,0,-0.36800000000000005,0,0,SERVICES
7,Retail,Revolver,59602,16157,0.271,-0.153,43445,0.584,41522,30,0,0,0,1,0.42400000000000004,0.34750000000000003,0.42400000000000004,0.271,0.07650000000000001,0.7289184926680313,L2_50_200k,0.584,0,1,0,1.0,0.8,0.74,0.6704000000000001,16157,52613.49315068493,49826.4,37369.8,0,0,-0.21600000000000008,0,0,SERVICES
8,Retail,Revolver,69596,47016,0.676,-0.219,22580,0.838,65932,90,1,0,0,1,0.895,0.7855000000000001,0.895,0.676,0.10949999999999999,0.3244439335594,L2_50_200k,0.838,1,1,1,1.0,0.9,0.81,0.8628,47016,63729.02147971361,79118.4,59338.8,0,0,-0.062000000000000055,0,0,SERVICES
9,Retail,Revolver,55715,26691,0.479,-0.15,29023,0.772,49110,5,0,0,0,1,0.629,0.554,0.629,0.479,0.07500000000000001,0.5209189625774029,L2_50_200k,0.772,1,0,0,1.0,0.75,0.7049999999999998,0.7632000000000001,26691,44847.86269430051,58932.0,44199.0,0,0,0.02200000000000002,1,0,SERVICES
10,Corporate,Overdraft,1233045,571674,0.464,0.149,661370,0.455,872715,0,1,1,0,1,0.31500000000000006,0.38950000000000007,0.464,0.31500000000000006,0.07449999999999998,0.5363713408675271,L4_500k_plus,0.455,0,0,1,1.1,0.85,0.7749999999999999,0.613,571674,1486492.5824175822,1064712.3,776716.35,0,0,-0.39499999999999996,0,0,
