cust_id,segment,facility_type,sector_code,limit_amt,current_balance,util_ratio,util_ratio_12m_ago,util_ratio_6m_ago,util_change_12m,util_max_12m,util_min_12m,util_vol_12m,undrawn_amt,undrawn_ratio,limit_bucket,obs_ccf,obs_ccf_capped,obs_ccf_high_flag,ccf_baseline,ccf_ttc,ccf_pit,ccf_gap,ead_current,ead_ttc,ead_at_default,ead_stressed_up,ead_stressed_down,dpd_12m_max,dpd_ever_30plus,high_risk_flag,high_risk_dpd_flag,secured_flag,revolving_flag,segment_stress_scale,high_util_flag,low_util_flag,new_to_bank_flag,refinance_flag,default_flag
1,Retail,Revolving Loan,Services,152953,91312.94,0.597,0.7932596297247652,0.49363471741952175,-0.196,0.7932596297247652,0.49363471741952175,0.3,61640.06,0.403,150k-300k,0.543,0.543,1,0.435,0.417,0.458,0.108,118126.37,124032.69,124783.49,153564.28,106313.73,0,0,1,0,0,0,0.197,0,0,0,0,0
2,Corporate,Overdraft,Manufacturing,186014,145462.95,0.782,0.8427614663618646,0.7407645419311736,-0.061,0.8427614663618646,0.7407645419311736,0.102,40551.04999999999,0.218,150k-300k,0.849,0.849,1,0.739,0.763,0.779,0.11,175430.18,184201.69,179890.79,228059.23,157887.16,0,0,1,0,1,1,0.3,0,0,0,0,0
3,SME,Credit Card,Trading,246768,76744.85,0.311,0.1767305600211046,0.23083111454481553,0.134,0.311,0.1767305600211046,0.134,170023.15,0.689,150k-300k,0.724,0.724,1,0.57,0.558,0.574,0.154,173658.05,182340.95,199841.61,225755.46,156292.24,0,0,1,0,0,1,0.254,0,0,1,0,0
4,SME,Revolving Loan,Public Sector,275345,139324.57,0.506,0.562944643242385,0.5349770401544476,-0.057,0.562944643242385,0.506,0.057,136020.43,0.494,150k-300k,0.411,0.411,0,0.208,0.21,0.192,0.203,167616.82,175997.66,195228.97,201140.18,150855.14,60,1,0,0,1,0,0.283,0,0,0,1,0
5,Retail,Credit Card,Public Sector,250360,49821.64,0.199,0.1869284366009032,0.1671245645097786,0.012,0.199,0.1671245645097786,0.032,200538.36,0.801,150k-300k,0.374,0.374,0,0.407,0.457,0.503,-0.033,131440.75,138012.79,124822.99,131440.75,118296.68,0,0,0,0,1,1,0.104,0,1,0,0,0
6,Retail,Revolving Loan,Trading,253858,109158.94,0.43,0.45320261978032456,0.42473684083816543,-0.023,0.45320261978032456,0.42473684083816543,0.028,144699.06,0.57,150k-300k,0.118,0.118,0,0.133,0.153,0.143,-0.015,128403.91,134824.11,126233.43,128403.91,115563.52,0,0,0,0,0,0,0.146,0,0,0,0,0
7,Retail,Revolving Loan,Manufacturing,29568,2069.76,0.07,0.0,0.0,0.07,0.07,0.0,0.07,27498.239999999998,0.93,0-50k,0.643,0.643,1,0.534,0.565,0.548,0.109,16753.82,17591.51,19751.13,20104.58,15078.44,90,1,0,0,1,0,0.157,0,1,0,0,0
8,Corporate,Overdraft,Manufacturing,300238,241091.11,0.803,0.6583933122043452,0.7592503239712743,0.145,0.803,0.6583933122043452,0.145,59146.890000000014,0.197,300k-500k,0.453,0.453,0,0.417,0.441,0.462,0.036,265755.36,279043.13,267884.65,265755.36,239179.82,15,0,0,0,1,1,0.241,1,0,0,0,0
9,SME,Term Loan,Construction,285199,112653.61,0.395,0.14448107992231263,0.41966053466909703,0.251,0.41966053466909703,0.14448107992231263,0.275,172545.39,0.605,150k-300k,0.671,0.671,1,0.518,0.525,0.532,0.153,202032.12,212133.73,228431.57,242438.54,181828.91,60,1,0,0,1,0,0.363,0,0,0,0,0
10,SME,Term Loan,Manufacturing,370450,273021.65,0.737,0.8642494004848358,0.7853900927432493,-0.127,0.8642494004848358,0.737,0.127,97428.34999999998,0.263,300k-500k,0.638,0.638,1,0.54,0.578,0.563,0.098,325632.96,341914.61,335180.94,423322.85,293069.66,0,0,1,0,0,0,0.22,0,0,0,0,1
