cust_id,product_type,age_years,monthly_income,loan_amount,property_value,profit_rate_pct,tenure_months,dpd_30plus_12m,dpd_60plus_12m,dpd_max_12m,monthly_instalment,dbr_ratio,base_pd,default_flag
1,MURABAHA_P,44,16104.192491,162226.71364,204259.40539,7.7507344282,129,2,3,60,1857.2344377,11.532614496,0.14,0
2,MURABAHA_A,58,10402.422469,90427.97843,109961.84709,7.0174517568,65,5,3,60,1676.3313198,16.114816763,0.14,0
3,IJARA_HOME,50,18631.772118,284709.81261,393424.55657,4.7424841089,285,0,0,0,1666.8002946,8.9460105245,0.04,0
4,MURABAHA_A,40,16438.894954,153523.22739,181946.8126,7.8388763378,167,2,1,60,1512.8696933,9.2029889937,0.14,0
5,MURABAHA_A,33,19330.561073,124274.86228,174439.45126,7.003733212,180,2,0,30,1117.2769913,5.7798477086,0.09,0
6,MURABAHA_A,22,18174.776811,329046.27081,382154.11785,6.6788251599,288,4,0,30,2295.5376747,12.630348634,0.09,0
7,IJARA_HOME,40,17510.712785,75633.088499,95510.097202,4.2915498299,228,5,1,60,485.70705419,2.7737708918,0.14,0
8,IJARA_HOME,46,10718.370117,422555.52886,605626.6558,4.1413607067,78,4,3,60,6188.4865911,57.737198134,0.14,0
9,MURABAHA_A,34,15224.728722,304986.38107,371118.6242,6.2106580519,259,5,0,30,2140.6772477,14.060528019,0.09,0
10,MURABAHA_A,55,21978.254576,387839.84119,433733.23904,7.8862547276,130,1,2,60,4446.3169116,20.230527844,0.14,0
11,MURABAHA_P,30,9929.6058803,257400.72178,345806.55299,5.5829657572,86,5,1,60,3638.4950668,36.642895102,0.14,0
12,MURABAHA_A,24,15214.738654,103995.16234,119174.8135,8.9216891812,57,0,0,0,2244.9622427,14.755181102,0.07,0
13,MURABAHA_A,49,14175.867334,334198.89817,400167.94955,7.8428467454,285,2,2,60,2588.559644,18.260326392,0.14,1
14,IJARA_HOME,47,7960.0405283,58713.03482,80655.039262,2.8863903131,190,3,2,60,385.35283536,4.8410913738,0.14,0
15,IJARA_HOME,28,16416.333284,165472.3444,248740.97322,2.7738403314,279,4,2,60,805.41563849,4.9061847403,0.14,0
16,MURABAHA_A,27,12704.540889,386939.60039,466695.53974,8.313412002,232,2,2,60,3357.3259638,26.426188818,0.17,0
17,MURABAHA_P,28,19188.754585,165169.19741,263536.90579,7.8464385033,77,1,2,60,2737.032522,14.263731968,0.14,0
18,MURABAHA_P,36,16272.621935,260328.16377,432852.00261,6.2864460656,208,4,3,60,2057.8933192,12.646353657,0.14,1
19,IJARA_HOME,38,15528.210245,172063.69052,246844.82314,4.1981405904,102,5,2,60,2008.6574828,12.935537651,0.14,1
20,IJARA_HOME,27,18686.811873,121154.70329,134711.94552,3.1719757161,44,1,3,60,2920.3776089,15.628014178,0.14,0
21,MURABAHA_A,51,15978.629072,355008.93658,482205.6339,7.6314452577,289,0,0,0,2687.9826863,16.822361132,0.04,0
22,IJARA_HOME,60,10570.802133,226163.26194,320872.48864,3.0577595921,85,1,1,60,2962.6601879,28.026824745,0.14,0
23,IJARA_HOME,36,21654.799626,422800.403,501829.67276,3.459903668,159,3,0,30,3318.8164349,15.326008516,0.09,0
24,MURABAHA_P,57,14748.86671,181243.39813,266143.80136,9.1387342399,25,3,0,30,7989.2495734,54.168565832,0.12,0
25,MURABAHA_A,46,13325.414145,251481.03554,302912.8961,7.1597650685,77,3,3,60,4083.0228602,30.640870264,0.14,0
26,MURABAHA_P,54,12963.258203,120153.74294,161075.50153,5.4761836286,240,5,0,30,824.90694154,6.3634229036,0.09,0
27,MURABAHA_P,26,13260.022004,376289.36209,437607.76043,6.6292719051,162,4,0,30,3521.1613832,26.554717498,0.09,0
28,IJARA_HOME,59,18579.35855,355704.20604,472887.17225,3.5642407263,261,2,3,60,1960.6112669,10.552631629,0.14,0
29,MURABAHA_P,37,15148.755471,118567.06459,173958.47037,6.7823185123,171,0,0,0,1083.4041753,7.1517701729,0.04,0
30,MURABAHA_P,38,12728.865971,188528.27791,277876.03529,8.9958526929,166,2,0,30,1989.0274076,15.626116357,0.12,0
31,MURABAHA_A,48,16210.169592,335139.20838,489933.16581,6.7965074431,151,5,1,60,3308.1075672,20.407606153,0.14,0
32,MURABAHA_P,38,10453.539668,63894.586265,84147.685942,6.715613648,210,5,3,60,518.04640373,4.9557032372,0.14,0
33,IJARA_HOME,27,14247.241067,328057.54533,503946.55942,4.0915849207,149,1,3,60,2811.8353891,19.735999242,0.14,1
34,IJARA_HOME,37,11491.217647,381357.79854,595025.52684,4.0736307577,104,4,2,60,4358.3633654,37.927776666,0.14,0
35,IJARA_HOME,41,6936.2080026,98782.341927,132258.58853,3.9728552066,188,3,1,60,706.65411887,10.187902649,0.14,0
36,MURABAHA_A,26,13109.879964,375215.97184,618526.17992,6.1129092594,55,0,0,0,7839.6179735,59.799311628,0.04,0
37,MURABAHA_A,57,14826.495424,350054.76531,424727.1988,9.4559333261,182,3,3,60,3627.8724915,24.468847072,0.17,1
38,IJARA_HOME,24,19977.994852,334787.21092,472314.43247,4.3873193545,207,1,0,30,2308.6239535,11.555834159,0.09,0
