cust_id,segment,secured_flag,ead,collateral_value,recovery_amount,recovery_cost,time_to_recovery,recovery_strategy,seniority,lgd_observed,default_flag
1,Auto,0,83290,0,7828,13970,17,Legal,Senior,0.95,0
2,SME,0,216265,0,33570,30018,15,Auction,Senior,0.95,0
3,SME,1,338851,266330,196173,23326,15,InternalRecovery,Subordinated,0.49,0
4,SME,1,266130,197616,86325,15726,22,InternalRecovery,Senior,0.735,0
5,Mortgage,1,562406,536428,240122,22818,19,InternalRecovery,Senior,0.614,0
6,Mortgage,1,800922,646130,413574,45203,6,DirectSale,Senior,0.54,0
7,SME,1,343808,242161,139866,8682,25,Legal,Senior,0.618,0
8,Mortgage,0,441245,0,99611,74150,19,Legal,Senior,0.942,0
9,SME,1,593011,680583,320334,72050,16,InternalRecovery,Senior,0.581,0
10,Mortgage,1,302631,286092,155912,21544,17,Legal,Senior,0.556,0
11,SME,1,448734,513601,321579,49136,3,DirectSale,Senior,0.393,0
12,Mortgage,0,488189,0,68759,31256,11,Legal,Senior,0.923,0
13,Mortgage,1,832420,706489,447476,69807,22,DirectSale,Senior,0.546,1
14,SME,0,164116,0,29050,19209,17,DirectSale,Senior,0.94,0
15,Auto,1,102451,99241,52146,7611,5,DirectSale,Senior,0.565,0
16,Corporate,1,4282086,3648076,2679391,281356,15,Legal,Senior,0.44,0
17,Auto,1,114679,113098,74268,12982,7,Auction,Senior,0.466,1
18,Mortgage,1,510550,531826,248493,39611,16,Auction,Subordinated,0.591,0
19,Corporate,1,2422613,1546021,1057960,84013,6,InternalRecovery,Senior,0.598,0
20,Mortgage,1,842802,678712,305472,69663,5,DirectSale,Senior,0.72,0
21,Auto,0,97584,0,21151,11957,13,InternalRecovery,Subordinated,0.906,0
22,SME,1,372288,392108,300361,32459,22,InternalRecovery,Senior,0.28,0
23,Mortgage,1,659274,531110,315237,52848,23,Legal,Senior,0.602,0
24,Auto,1,81897,89348,37327,3948,15,Auction,Senior,0.592,0
25,Mortgage,1,668736,482738,272585,32001,3,Legal,Senior,0.64,0
26,Mortgage,1,443824,357858,173734,14762,18,InternalRecovery,Senior,0.642,1
27,Auto,1,74167,56734,44880,4555,13,DirectSale,Senior,0.456,0
28,SME,0,286725,0,15795,21622,19,InternalRecovery,Senior,0.95,0
29,SME,1,437171,493726,316702,53514,18,Legal,Senior,0.398,0
30,SME,1,309156,199560,135823,20877,22,Legal,Senior,0.628,0
31,Corporate,1,3404155,3616049,2399861,270745,22,Legal,Senior,0.375,0
32,Auto,1,37215,32258,17640,3653,4,Legal,Senior,0.624,0
33,SME,0,188889,0,39841,37180,23,InternalRecovery,Senior,0.95,0
34,Mortgage,1,650527,674452,380218,37072,7,Legal,Senior,0.473,0
35,Auto,1,75793,85138,58436,9644,8,Auction,Subordinated,0.356,0
36,SME,0,148891,0,30067,14258,13,Legal,Senior,0.894,0
37,SME,1,663571,420326,223471,12958,17,DirectSale,Senior,0.683,0
38,Corporate,1,2477344,1566619,1039154,148602,21,Auction,Senior,0.641,0
39,Mortgage,0,366059,0,59638,29757,21,InternalRecovery,Senior,0.918,0
40,Mortgage,0,544341,0,97629,89930,21,Auction,Senior,0.95,0
41,Mortgage,1,452756,274528,196293,10337,17,Legal,Senior,0.589,0
42,Mortgage,1,624049,491626,297642,15445,13,InternalRecovery,Senior,0.548,0
43,Mortgage,0,1273509,0,271723,221052,16,DirectSale,Senior,0.95,1
44,Auto,1,59784,59988,44068,2459,17,Legal,Senior,0.304,0
45,Corporate,1,3311549,2835567,1706624,296943,10,Auction,Senior,0.574,0
46,Corporate,1,2170942,1577626,1087651,129900,10,Auction,Senior,0.559,0
47,Mortgage,0,525200,0,57655,62796,19,Auction,Senior,0.95,0
48,Mortgage,1,273116,219243,114778,16587,11,Auction,Senior,0.64,0
49,Auto,1,71792,64660,44816,5957,5,Auction,Senior,0.459,0
50,Auto,1,109880,128323,73441,11698,9,Legal,Senior,0.438,0
51,Corporate,1,4194292,3864813,1829746,434574,19,InternalRecovery,Subordinated,0.667,0
52,Auto,1,88322,75904,35483,5926,13,DirectSale,Senior,0.665,0
53,Mortgage,0,373393,0,42011,44020,18,Auction,Senior,0.95,0
54,Mortgage,0,788438,0,72895,154875,18,InternalRecovery,Senior,0.95,0
55,Auto,0,38560,0,6049,4430,15,Auction,Senior,0.95,0
56,Corporate,1,5474942,3606262,2508128,367228,7,InternalRecovery,Subordinated,0.609,0
57,Mortgage,1,184621,203315,137469,23732,19,Auction,Senior,0.384,0
58,Auto,0,92282,0,7441,11434,28,Auction,Senior,0.95,0
59,Auto,0,75958,0,8280,3982,20,InternalRecovery,Senior,0.943,0
60,Corporate,1,7690533,5355401,4150979,365186,17,DirectSale,Senior,0.508,0
61,Mortgage,0,857141,0,55228,147210,7,Auction,Senior,0.95,0
62,Mortgage,1,800305,565542,348313,59594,9,Legal,Senior,0.639,0
63,SME,1,258742,169636,76640,11561,9,Auction,Senior,0.748,0
64,Mortgage,1,255433,298378,120538,33947,14,DirectSale,Senior,0.661,0
65,SME,0,331028,0,32701,42690,11,Legal,Subordinated,0.95,0
66,Mortgage,1,732603,812059,463985,59363,11,Legal,Senior,0.448,1
67,Corporate,0,7266852,0,417582,938732,17,Auction,Senior,0.95,0
68,SME,0,237577,0,37526,34191,22,InternalRecovery,Senior,0.95,0
69,SME,1,410351,312131,130927,19461,10,DirectSale,Senior,0.728,0
70,Mortgage,1,708959,752716,494706,86587,14,InternalRecovery,Senior,0.424,0
71,SME,1,380196,434904,310117,26904,21,DirectSale,Senior,0.255,0
72,Corporate,1,4304501,4584937,3627550,325971,16,Legal,Subordinated,0.233,0
73,Mortgage,0,535734,0,81419,69491,20,Auction,Senior,0.95,0
74,Mortgage,1,729062,450430,212279,47024,3,Legal,Senior,0.773,0
75,Mortgage,1,410323,407358,306016,47683,10,Legal,Subordinated,0.37,0
76,Corporate,1,7405643,4942386,2433388,163183,17,Legal,Senior,0.693,0
77,Auto,1,38795,27784,15176,2971,17,Auction,Senior,0.685,0
78,Auto,1,97857,73665,30434,8323,13,InternalRecovery,Senior,0.774,0
79,Corporate,1,7737614,7469230,4371306,363174,14,DirectSale,Subordinated,0.482,0
80,Auto,0,56018,0,13566,9682,19,DirectSale,Senior,0.931,0
81,Mortgage,0,440969,0,92826,73551,9,Auction,Senior,0.95,0
82,Corporate,1,3856552,3748949,2683379,152055,17,Legal,Subordinated,0.344,0
83,Mortgage,1,666607,627287,264734,22895,11,Legal,Senior,0.637,0
84,Corporate,1,5094497,3981280,2645987,218437,13,DirectSale,Senior,0.523,0
85,Mortgage,1,562568,666835,340740,45780,4,DirectSale,Subordinated,0.476,0
86,SME,0,339813,0,25567,46358,11,Legal,Senior,0.95,0
87,Mortgage,1,991029,807114,366606,84866,13,Auction,Senior,0.716,0
88,Auto,1,62975,53792,42370,2349,17,Auction,Senior,0.364,0
89,Auto,0,57155,0,5525,8262,25,Auction,Senior,0.95,1
90,SME,0,128493,0,18017,19922,21,Legal,Senior,0.95,0
91,Auto,1,78426,50822,20557,4932,14,InternalRecovery,Senior,0.801,0
92,Auto,0,59214,0,6178,8124,24,Auction,Senior,0.95,0
93,SME,0,218444,0,22070,34379,14,Legal,Senior,0.95,1
94,Corporate,0,4574762,0,1034424,755144,24,Legal,Senior,0.939,0
95,Mortgage,0,612086,0,129956,57738,3,DirectSale,Senior,0.882,0
96,Mortgage,1,451970,381632,263683,34418,28,Auction,Senior,0.493,0
97,Mortgage,1,512849,396521,277018,12396,3,Legal,Senior,0.484,0
98,Mortgage,1,471516,341797,149042,29964,13,Legal,Senior,0.747,0
99,Auto,1,54573,49820,31925,5700,14,InternalRecovery,Subordinated,0.519,0
100,Corporate,0,1335408,0,82430,236212,5,Auction,Senior,0.95,0
101,Auto,1,52044,55605,24284,3779,7,InternalRecovery,Senior,0.606,0
102,SME,1,215525,248677,121962,12122,19,InternalRecovery,Senior,0.49,0
103,SME,1,308003,353197,146875,25371,16,Legal,Senior,0.606,0
104,Auto,1,63996,46882,23414,3610,3,DirectSale,Subordinated,0.691,0
105,Corporate,0,3750314,0,546455,327889,19,InternalRecovery,Senior,0.942,0
106,Mortgage,1,473049,532256,317699,19536,16,DirectSale,Senior,0.37,1
107,Corporate,0,5862458,0,316176,1133653,23,Legal,Senior,0.95,0
108,Corporate,1,3378950,2336174,1750114,221395,3,Auction,Senior,0.548,1
109,SME,1,1250897,1482085,700654,130603,6,Auction,Subordinated,0.544,1
