cust_id,secured_flag,ead,collateral_value,time_to_recovery,default_flag,recovery_amount,recovery_cost,lgd_observed,collateral_type,legal_action_flag,restructuring_flag,seniority,industry,segment,exposure_class
1,1,643210,1309123,25,1,1169098,125838,0.05,PlantMachinery,0,0,Junior,Construction,SME,Secured
2,0,1513483,744062,6,0,237049,55784,0.8802332104159742,PlantMachinery,1,1,Senior,Energy,Corporate,Unsecured
3,0,2617676,727438,18,0,274337,44107,0.9120479387059361,Guarantee,0,1,Senior,Services,Corporate,Unsecured
4,1,578214,139129,35,0,64860,6127,0.8984234210863106,Receivables,1,0,Senior,Retail,Corporate,Partially Secured
5,1,2627013,248892,15,0,155527,34111,0.95,Vehicles,0,1,Senior,Retail,Corporate,Partially Secured
6,1,1267266,1055756,15,0,842400,207776,0.4992180015876698,Inventory,1,0,Senior,Manufacturing,Corporate,Secured
7,1,3421057,407573,35,0,360771,71748,0.9155164617251335,Inventory,0,0,Junior,Energy,SME,Partially Secured
8,0,983212,574075,16,0,58081,11010,0.95,Receivables,0,0,Senior,Transport,SME,Unsecured
9,1,1760739,650097,10,0,290804,64381,0.8714045636519666,Receivables,0,0,Senior,Manufacturing,SME,Partially Secured
10,0,1154749,344305,28,0,95549,5163,0.9217267129047092,Inventory,0,0,Senior,Construction,Corporate,Unsecured
11,1,1092290,251523,24,0,170304,38792,0.8795997399957887,Inventory,0,0,Senior,Manufacturing,SME,Secured
12,0,1558026,123798,3,1,13888,1388,0.95,Receivables,1,0,Junior,Construction,SME,Unsecured
13,0,2057099,620840,18,0,199756,33578,0.9192173055356111,Vehicles,0,0,Senior,Services,SME,Unsecured
14,1,344701,1440454,31,0,857206,119535,0.05,PlantMachinery,1,0,Junior,Construction,Corporate,Partially Secured
15,1,5043614,119611,25,0,61719,8436,0.95,PlantMachinery,1,0,Senior,Energy,Corporate,Partially Secured
16,1,187275,710374,7,0,569543,79778,0.05,Property,0,0,Senior,Transport,SME,Partially Secured
17,1,606334,993766,23,0,553510,103371,0.2576055441390389,Receivables,1,0,Senior,Retail,Mortgage,Secured
18,1,1094415,245600,38,0,137778,25516,0.8974228240658251,Property,0,0,Junior,Manufacturing,Corporate,Secured
19,1,1816379,3486315,22,0,2170213,271662,0.05,Property,1,0,Senior,Services,SME,Secured
20,1,5816286,477210,10,0,356227,88547,0.95,Guarantee,1,0,Senior,Transport,Corporate,Secured
21,1,187532,652531,28,0,535650,130303,0.05,PlantMachinery,0,0,Senior,Transport,SME,Partially Secured
22,1,723825,610848,27,0,313417,25526,0.6022643594791559,Inventory,1,0,Junior,Manufacturing,Corporate,Partially Secured
23,1,143367,104000,9,0,60449,11338,0.657445576736627,Inventory,0,0,Senior,Services,Corporate,Partially Secured
24,1,1241240,2212485,24,1,1433876,218465,0.05,Inventory,0,0,Senior,Transport,Corporate,Secured
25,1,1578023,254977,35,0,105255,10965,0.9402480191987063,Guarantee,0,0,Junior,Retail,Corporate,Partially Secured
26,0,5901964,562320,7,0,209248,44288,0.95,Receivables,1,0,Senior,Transport,Corporate,Unsecured
27,1,1356793,1407642,14,0,961396,91243,0.3586693032761814,PlantMachinery,0,0,Senior,Transport,SME,Secured
28,1,3416151,3638178,16,0,1698229,312581,0.594383269357824,Guarantee,1,0,Senior,Energy,SME,Secured
29,1,2156154,222364,9,0,103435,20396,0.95,Receivables,1,1,Senior,Energy,Corporate,Partially Secured
30,1,778210,446354,30,1,378325,49385,0.5773120365968054,Receivables,1,0,Senior,Transport,Mortgage,Partially Secured
31,1,293913,3337259,18,0,2475097,142478,0.05,Vehicles,1,0,Senior,Construction,SME,Secured
32,1,1583269,1214794,4,1,721624,82262,0.5961760130464249,Inventory,0,0,Senior,Construction,SME,Secured
33,1,270465,1526195,33,0,868467,183955,0.05,Vehicles,0,0,Junior,Manufacturing,SME,Secured
34,0,4391612,229522,38,0,74655,13780,0.95,Vehicles,0,0,Senior,Construction,SME,Unsecured
35,0,1022680,480637,16,1,190053,27941,0.8414831618883717,PlantMachinery,1,0,Senior,Energy,Corporate,Unsecured
