cust_id,secured_flag,ead,collateral_value,recovery_amount,recovery_cost,time_to_recovery,default_flag,lgd_observed
1,1,643210,1309123,800970,160307,39,0,0.05
2,0,1513483,744062,241195,38348,34,1,0.8659733872134672
3,0,2617676,727438,269539,33263,16,0,0.9097382563770307
4,1,578214,139129,75742,17651,35,0,0.8995337366442182
5,1,2627013,248892,221660,39209,7,0,0.930548116815562
6,1,1267266,1055756,891508,95355,37,0,0.3717554167791135
7,1,3421057,407573,202129,42718,24,1,0.95
8,0,983212,574075,193145,34187,8,0,0.8383278479107252
9,1,1760739,650097,295354,22270,36,0,0.8449037591602162
10,0,1154749,344305,88708,6462,6,0,0.9287758638457362
11,1,1092290,251523,214701,51017,4,0,0.8501460234919298
12,0,1558026,123798,35790,3850,11,0,0.95
13,0,2057099,620840,45256,8268,32,0,0.95
14,1,344701,1440454,1114873,63867,39,0,0.05
15,1,5043614,119611,60033,9683,21,0,0.95
16,1,187275,710374,616130,59287,11,1,0.05
17,1,606334,993766,659235,51371,7,1,0.05
18,1,1094415,245600,109593,22433,18,0,0.9203592787014067
19,1,1816379,3486315,2086703,442190,28,0,0.09462012058056168
20,1,5816286,477210,334439,64560,9,0,0.95
21,1,187532,652531,376126,19647,4,0,0.05
22,1,723825,610848,457893,48986,16,0,0.4350747763616897
23,1,143367,104000,87466,10687,33,0,0.4644583481554333
24,1,1241240,2212485,1738893,327207,24,0,0.05
25,1,1578023,254977,183922,36988,35,0,0.9068872887150567
26,0,5901964,562320,194665,34177,33,0,0.95
27,1,1356793,1407642,742153,154232,21,0,0.5666833481599625
28,1,3416151,3638178,2282858,309235,8,0,0.42226704849990526
29,1,2156154,222364,121516,19244,12,0,0.95
30,1,778210,446354,386994,24322,14,0,0.5339664100949615
31,1,293913,3337259,2848869,385829,28,0,0.05
32,1,1583269,1214794,580566,79262,6,0,0.6833740823574516
33,1,270465,1526195,1238217,213349,7,0,0.05
34,0,4391612,229522,84841,10654,32,1,0.95
35,0,1022680,480637,171956,16798,26,0,0.8482829428560253
36,0,3973577,606452,160656,15667,37,0,0.95
37,1,743992,283882,216058,16587,7,0,0.7318909343111216
38,1,1573559,115609,76179,14489,7,0,0.95
39,0,1482660,416004,135767,23693,10,0,0.9244101817004573
40,1,1149635,3235574,1369885,227195,37,0,0.05
41,1,780227,778473,358919,56064,3,0,0.6118373242658868
42,1,1780591,3307555,1812856,223901,4,0,0.10762494025859948
43,1,476315,888174,470338,95828,9,0,0.21373460839990344
44,0,358815,314525,85642,20074,17,0,0.8172651644998119
45,1,4167499,2973888,2254092,311059,16,0,0.5337652150606396
46,0,2488443,921316,138516,18258,15,0,0.95
47,1,1284514,2101207,1166580,96295,31,0,0.16677825231955434
48,1,6357478,225221,195767,36048,4,0,0.95
49,1,920097,2286726,1615401,261078,9,0,0.05
50,1,4514040,2363793,1530920,379055,12,0,0.7448261424356009
51,0,1433420,1003238,225278,37590,22,0,0.8690628008539019
52,0,431597,300254,53094,5719,27,0,0.8902332499994208
53,0,7633371,693419,144883,23556,28,1,0.95
54,0,3238791,1428906,345008,85195,8,0,0.9197808688489008
55,1,1065525,944137,719986,140157,6,0,0.45582787827596727
56,0,2488451,1412951,159898,12106,10,0,0.9406088365814718
57,1,803149,2221005,1901122,225534,15,0,0.05
58,1,2755609,357434,265334,29116,39,0,0.9142773884103297
59,1,110075,204723,154807,34268,10,0,0.05
60,1,433739,699910,611016,105236,31,0,0.05
61,1,3201915,507515,448434,95077,29,0,0.8896419798776669
62,1,936911,1731382,1408449,120069,11,0,0.05
63,0,1479984,223697,51547,11938,16,0,0.95
64,1,312767,2240971,1021172,62967,13,0,0.05
65,1,7632049,3233168,2635552,329358,27,0,0.6978276738003124
66,1,3955152,729661,384237,20299,25,1,0.9079838145284935
67,1,983934,779813,531748,46185,12,0,0.5065085666315017
68,0,802353,313545,57811,14015,9,0,0.9454155465237869
69,1,3367241,401544,230005,15111,15,1,0.9361809861545402
70,0,8731698,465482,167185,13221,24,0,0.95
71,0,3121300,3566995,220112,51719,20,0,0.9460503636305385
72,1,10551754,673970,528775,101543,11,0,0.95
73,1,478135,170349,112724,14811,24,0,0.7952189235257825
74,0,529989,965971,231628,14767,11,0,0.5908198094677437
75,0,366245,1810147,545877,113000,16,0,0.05
76,0,1870582,709309,267650,39758,14,0,0.8781705372980174
77,0,1433462,3671587,506377,58032,19,0,0.6872292394217636
78,1,1033073,1715576,1143880,139725,19,0,0.05
79,1,2701340,230028,199661,30159,26,0,0.9372526227724018
80,1,4123977,397688,228981,36693,15,0,0.95
81,0,261538,935511,98983,21144,38,0,0.7023797689054745
82,1,662004,116680,64448,13169,20,1,0.9225397429622781
83,1,2730904,1055993,479899,97617,32,0,0.8600163169412034
84,1,753332,105057,52075,10199,39,0,0.9444122909952053
85,1,541335,2248506,1378583,277863,3,0,0.05
86,1,3330181,1978799,1434387,266107,16,0,0.6491842335296489
87,0,331207,1270930,351611,78621,12,0,0.17577225119034323
88,1,889504,346810,203972,32939,7,0,0.8077209321149764
89,0,1670517,879600,320543,49417,24,1,0.8376993469686331
90,1,677510,414689,339797,64649,31,0,0.5938834851146109
91,1,2631739,234709,192335,16002,34,0,0.9329975350899158
92,0,680867,502515,196958,40453,33,0,0.7701386614419556
93,0,4919018,1572366,321577,76288,39,0,0.95
94,1,1060502,765431,532052,58127,35,0,0.553112582531669
95,0,2353161,3597612,637753,109826,32,0,0.7756519847133282
96,1,2535810,1693585,923791,52216,35,0,0.6562932554095141
97,1,642074,1505385,849204,172528,12,0,0.05
98,1,154278,124266,83713,13555,37,0,0.5452494846964571
99,1,1725031,533026,454375,83937,30,0,0.7852571924794395
100,1,1292757,226203,185273,14562,11,0,0.8679481139920341
101,1,2096596,596417,307802,65220,13,0,0.8842972131970108
102,1,958833,340236,224452,22711,29,0,0.7895973542838013
103,1,781970,481487,351280,65674,34,0,0.6347609243321355
104,1,8961722,2343788,2094774,353238,23,0,0.805669490751889
105,0,275859,1230307,197220,35649,14,0,0.414298609072026
106,1,2505378,2208503,1395638,83804,9,0,0.4763927838433961
107,1,676980,125398,112112,22239,24,0,0.8672442317350586
108,0,859599,777448,221358,46274,34,0,0.7963189812924398
109,1,875803,2112484,1194320,173132,5,0,0.05
110,1,538512,3824451,1529812,201586,14,0,0.05
111,1,2129130,132866,92124,10917,15,0,0.95
112,1,4831384,495522,413002,97293,24,0,0.9346545420525464
113,0,1924186,2275361,696087,139922,30,0,0.7109608946328474
114,0,1333585,590363,132262,25093,7,0,0.9196384182485556
115,1,448453,267945,151750,35679,32,0,0.7411746604437923
116,0,2016401,132587,37563,4498,34,0,0.95
117,0,10389950,256896,86550,15235,22,1,0.95
118,1,821843,113801,65174,12201,22,0,0.93554365006455
119,0,825724,777863,231973,57818,11,0,0.7890881214546265
120,1,686190,1955079,1241470,168141,9,0,0.05
121,0,737178,182212,54729,7116,9,0,0.9354118001351098
122,0,77242,968498,256620,17167,28,0,0.05
123,1,1803131,1848339,1322929,92195,35,0,0.3174461533854168
124,1,516302,727246,537197,81847,33,0,0.11805493683929169
