cust_id,secured_flag,ead,collateral_value,time_to_recovery,default_flag,recovery_amount,recovery_cost,lgd_observed,collateral_type,legal_action_flag,restructuring_flag,seniority,industry,segment,exposure_class,dpd_last_12m,dpd_last_6m,ever_30_plus,ever_60_plus,ever_90_plus,dpd_trend,payment_ratio,missed_payments_count,partial_payment_flag,utilization_ratio,overlimit_count,recent_cash_flag,balance_volatility_12m,payment_volatility_12m,financial_stress_flag,returned_cheque_count,overdue_fee_count,behavior_segment
1,1,643210,1309123,25,1,1169098,125838,0.05,PlantMachinery,0,0,Junior,Construction,SME,Secured,0,15,0,0,0,0,0.8767459447447079,2,0,0.9258280757461086,0,0,0.02205530983380377,0.2192171706911641,1,0,0,Irregular
2,0,1513483,744062,6,0,237049,55784,0.8802332104159742,PlantMachinery,1,1,Senior,Energy,Corporate,Unsecured,90,0,1,1,1,0,1.097590706297811,1,0,0.5590840860307019,0,0,0.07438083859281003,0.2183413073112302,0,0,0,Stressed
3,0,2617676,727438,18,0,274337,44107,0.912047938705936,Guarantee,0,1,Senior,Services,Corporate,Unsecured,30,0,1,0,0,-1,0.9270939258223642,1,0,0.519316716661776,1,0,0.3690034237574563,0.5345539121366354,1,0,0,Good
4,1,578214,139129,35,0,64860,6127,0.8984234210863106,Receivables,1,0,Senior,Retail,Corporate,Partially Secured,15,30,0,0,0,1,0.9170973486331954,2,0,0.397837869014537,0,0,0.41688694387211345,0.3876385283250446,0,0,0,Good
5,1,2627013,248892,15,0,155527,34111,0.95,Vehicles,0,1,Senior,Retail,Corporate,Partially Secured,0,0,0,0,0,1,0.4459697101644472,1,0,0.6047048734659749,1,0,0.15380753004897182,0.07922571945394213,1,0,1,Good
6,1,1267266,1055756,15,0,842400,207776,0.4992180015876698,Inventory,1,0,Senior,Manufacturing,Corporate,Secured,0,45,0,0,0,0,0.6856174447164207,0,0,0.8341205323223732,0,0,0.44061222416618384,0.1734077787844381,1,0,0,Good
7,1,3421057,407573,35,0,360771,71748,0.9155164617251336,Inventory,0,0,Junior,Energy,SME,Partially Secured,0,0,0,0,0,0,1.260840366718208,2,0,0.8090270135302635,0,0,0.6398039690375533,0.46960160375254134,0,0,1,Good
8,0,983212,574075,16,0,58081,11010,0.95,Receivables,0,0,Senior,Transport,SME,Unsecured,60,30,1,1,0,0,0.7301676164908135,2,0,0.7440339996118557,0,0,0.14041071361761173,0.4123409768887726,0,0,0,Irregular
9,1,1760739,650097,10,0,290804,64381,0.8714045636519666,Receivables,0,0,Senior,Manufacturing,SME,Partially Secured,30,0,1,0,0,0,1.1028952419094136,2,1,0.7028108087532124,0,0,0.014384560076661113,0.5091175204729591,1,0,0,High-Risk
10,0,1154749,344305,28,0,95549,5163,0.9217267129047092,Inventory,0,0,Senior,Construction,Corporate,Unsecured,30,60,1,0,0,-1,0.7278318221287434,4,1,0.5549803376381235,1,0,0.17624421400387053,0.32421825541322413,0,0,1,Stressed
11,1,1092290,251523,24,0,170304,38792,0.8795997399957887,Inventory,0,0,Senior,Manufacturing,SME,Secured,0,60,0,0,0,0,0.7944358996981074,0,0,1.058408128964958,0,0,0.23341675016826113,0.6970596307193933,0,0,0,Good
12,0,1558026,123798,3,1,13888,1388,0.95,Receivables,1,0,Junior,Construction,SME,Unsecured,90,0,1,1,1,1,0.9531173690707037,2,0,1.274751936396723,0,0,0.39270263467179145,0.39566940453731253,0,0,0,Irregular
13,0,2057099,620840,18,0,199756,33578,0.9192173055356112,Vehicles,0,0,Senior,Services,SME,Unsecured,45,45,1,0,0,-1,0.8701386031988019,2,0,0.6281772619875511,0,1,0.2972027299657881,0.2416612652234049,0,0,0,Good
14,1,344701,1440454,31,0,857206,119535,0.05,PlantMachinery,1,0,Junior,Construction,Corporate,Partially Secured,0,30,0,0,0,0,0.9263024902002159,2,0,0.6550973676918973,1,0,0.5714878753115572,0.02198009718917443,0,0,0,Good
15,1,5043614,119611,25,0,61719,8436,0.95,PlantMachinery,1,0,Senior,Energy,Corporate,Partially Secured,0,0,0,0,0,1,0.6863219490546025,4,0,0.18861346976704185,0,0,0.35644368196573495,0.4563911923336352,0,0,0,Stressed
16,1,187275,710374,7,0,569543,79778,0.05,Property,0,0,Senior,Transport,SME,Partially Secured,0,15,0,0,0,-1,0.6227459621062487,2,0,0.6571304806613576,0,0,0.1941828137801846,0.08637087978670338,0,0,0,Irregular
17,1,606334,993766,23,0,553510,103371,0.2576055441390389,Receivables,1,0,Senior,Retail,Mortgage,Secured,0,0,0,0,0,-1,0.6728256771218997,3,0,0.4663831572656389,0,0,0.25499081191092954,0.4667833304829552,0,1,0,Irregular
18,1,1094415,245600,38,0,137778,25516,0.8974228240658251,Property,0,0,Junior,Manufacturing,Corporate,Secured,15,30,0,0,0,0,0.7435363717075266,0,0,0.9597410119322016,1,0,0.4767093370643235,0.33091767752317314,0,0,0,Good
19,1,1816379,3486315,22,0,2170213,271662,0.05,Property,1,0,Senior,Services,SME,Secured,15,0,0,0,0,-1,0.8041437235885177,1,0,0.990491574247083,0,1,0.33535249556724706,0.08143655256635668,1,0,0,High-Risk
20,1,5816286,477210,10,0,356227,88547,0.95,Guarantee,1,0,Senior,Transport,Corporate,Secured,0,0,0,0,0,-1,1.057455076127964,3,0,0.3334153464366196,1,0,0.5340174167585693,0.19241037140377887,0,0,1,Irregular
21,1,187532,652531,28,0,535650,130303,0.05,PlantMachinery,0,0,Senior,Transport,SME,Partially Secured,30,0,1,0,0,0,0.8674682912050096,4,0,0.5331425668463117,0,0,0.1896892379686127,0.3094465338450748,0,0,0,Irregular
22,1,723825,610848,27,0,313417,25526,0.6022643594791559,Inventory,1,0,Junior,Manufacturing,Corporate,Partially Secured,0,15,0,0,0,0,0.946919420501717,1,0,0.6925062280261263,0,0,0.43139993999136683,0.5078806998703088,0,0,0,Irregular
23,1,143367,104000,9,0,60449,11338,0.657445576736627,Inventory,0,0,Senior,Services,Corporate,Partially Secured,0,30,0,0,0,1,0.8783202025160264,3,0,1.022043635677008,0,0,0.3377470261101122,0.22396370609903185,0,0,0,High-Risk
24,1,1241240,2212485,24,1,1433876,218465,0.05,Inventory,0,0,Senior,Transport,Corporate,Secured,0,60,0,0,0,0,0.6269131492942448,0,0,0.9469812225859086,1,0,0.19814039600161631,0.6510716892582765,0,0,1,Good
25,1,1578023,254977,35,0,105255,10965,0.9402480191987064,Guarantee,0,0,Junior,Retail,Corporate,Partially Secured,15,0,0,0,0,0,0.8534539052011297,0,0,0.9689256220880885,0,0,0.324112380901285,0.5258738369861541,0,1,2,Stressed
26,0,5901964,562320,7,0,209248,44288,0.95,Receivables,1,0,Senior,Transport,Corporate,Unsecured,45,0,1,0,0,0,0.8761564220383072,2,0,0.6086818079865193,0,0,0.2372659220781261,0.9399581722528628,1,1,0,Irregular
27,1,1356793,1407642,14,0,961396,91243,0.3586693032761814,PlantMachinery,0,0,Senior,Transport,SME,Secured,0,15,0,0,0,1,1.0019846442682614,1,0,0.9791747393002039,0,0,0.3348605573161154,0.749360954590255,0,0,1,Stressed
28,1,3416151,3638178,16,0,1698229,312581,0.594383269357824,Guarantee,1,0,Senior,Energy,SME,Secured,15,15,0,0,0,-1,0.6362823860713069,2,0,0.2235615706262955,1,0,0.16874848305918383,0.7361042492933116,0,0,1,Irregular
29,1,2156154,222364,9,0,103435,20396,0.95,Receivables,1,1,Senior,Energy,Corporate,Partially Secured,15,0,0,0,0,-1,0.44191782697032783,2,0,0.7891090955457564,0,0,0.3609026824267937,0.3337461329991587,0,0,1,Good
30,1,778210,446354,30,1,378325,49385,0.5773120365968054,Receivables,1,0,Senior,Transport,Mortgage,Partially Secured,0,0,0,0,0,1,0.8852527630340995,2,0,0.6632050881731851,1,0,0.032321023543059824,0.7871741816395743,1,0,1,Good
31,1,293913,3337259,18,0,2475097,142478,0.05,Vehicles,1,0,Senior,Construction,SME,Secured,30,0,1,0,0,1,0.9207700003176761,2,0,1.0601658446635234,1,0,0.2782213028517793,0.7245904760813244,1,1,1,Good
32,1,1583269,1214794,4,1,721624,82262,0.5961760130464249,Inventory,0,0,Senior,Construction,SME,Secured,0,0,0,0,0,-1,0.8141230387365904,1,1,0.5067863660550108,0,0,0.23315300554490792,0.38995742648680737,0,0,1,High-Risk
33,1,270465,1526195,33,0,868467,183955,0.05,Vehicles,0,0,Junior,Manufacturing,SME,Secured,0,30,0,0,0,-1,0.8556041801453582,2,0,0.8439762045860401,0,1,0.40325707531040655,0.5284948201271872,0,0,1,Stressed
34,0,4391612,229522,38,0,74655,13780,0.95,Vehicles,0,0,Senior,Construction,SME,Unsecured,90,0,1,1,1,0,1.0257544757165609,3,0,1.1679560584781448,2,0,0.4050556078406537,0.2659406612415436,0,0,0,Good
35,0,1022680,480637,16,1,190053,27941,0.8414831618883717,PlantMachinery,1,0,Senior,Energy,Corporate,Unsecured,90,45,1,1,1,-1,0.7582388846944982,1,0,0.6276156782073702,1,0,0.35969202498725905,0.4042991623827401,0,0,0,Good
36,0,3973577,606452,30,0,106207,20429,0.95,Inventory,1,0,Junior,Transport,SME,Unsecured,45,0,1,0,0,0,0.7942718315682842,2,0,0.7587135663334326,0,0,0.321343428194129,0.37263193204261524,0,0,1,Good
37,1,743992,283882,34,0,253710,23645,0.6907695244034882,Guarantee,0,0,Junior,Manufacturing,SME,Partially Secured,0,0,0,0,0,-1,0.8658072889227664,0,0,0.6409309999217423,0,0,0.11528499751413476,0.7976624934699252,1,0,0,Good
38,1,1573559,115609,30,1,85958,20215,0.95,Guarantee,0,0,Senior,Transport,Mortgage,Secured,0,30,0,0,0,-1,0.6060370641661315,5,0,0.4920028817077472,0,0,0.49451506769970166,0.20690019238175095,0,0,0,High-Risk
39,0,1482660,416004,14,0,126655,27594,0.9331869747615772,Property,1,0,Senior,Retail,SME,Unsecured,30,15,1,0,0,0,0.8196205549904491,1,0,0.5302232705656712,0,0,0.13050755814729784,0.6949405727117435,0,0,3,Stressed
40,1,1149635,3235574,15,0,1517532,85693,0.05,Vehicles,0,0,Senior,Retail,SME,Secured,15,0,0,0,0,1,0.8372513365331588,2,0,0.7793398800519811,0,0,0.5061786387204036,0.38867277810016315,0,0,1,High-Risk
41,1,780227,778473,24,0,563728,103687,0.410375442018797,Vehicles,0,0,Senior,Retail,Corporate,Secured,0,15,0,0,0,0,1.1774084428640548,0,0,0.5201884643724871,0,0,0.5449741646213849,0.2728047441353669,0,1,1,Good
42,1,1780591,3307555,31,0,1956707,206398,0.05,Property,0,0,Junior,Retail,Mortgage,Partially Secured,15,0,0,0,0,0,0.7903768684743079,1,0,0.6969151076142099,1,0,0.4513329618276259,0.23285486329912064,0,0,0,Irregular
43,1,476315,888174,32,0,648348,96697,0.05,Property,0,0,Senior,Services,SME,Secured,0,30,0,0,0,1,0.8900022479888934,2,0,0.45896344455651716,1,0,0.35117309013977344,0.10370110035760077,0,1,2,Irregular
