cust_id,segment,industry,region,facility_type,ead,rating_internal,leverage_ratio,interest_cover,ebitda_margin,years_in_business,past_due_12m,restructuring_flag,collateral_coverage,default_flag,dpd_band,dpd_points
1,SmallCorp,Retail,GCC,TradeFinance,751343,4,2.15,6.14,15.7,6,0,0,1.03,0,Clean Behaviour,35
2,MidCorp,Transport,Europe,Overdraft,9048577,4,1.09,6.39,20.3,14,1,0,0.8,0,Mild Deterioration,55
3,LargeCorp,Transport,GCC,Overdraft,52126471,6,1.6,4.09,11.8,9,0,0,0.75,0,Clean Behaviour,35
4,MidCorp,Services,Asia,Overdraft,19627437,5,1.65,3.2,18.3,22,0,1,0.64,0,Restructured Account,95
5,SmallCorp,Manufacturing,GCC,TermLoan,2353343,8,3.32,4.44,23.8,8,2,0,0.89,1,Mild Deterioration,55
6,MidCorp,Manufacturing,Africa,Overdraft,3587622,5,2.7,1.64,15.2,21,0,0,0.72,0,Clean Behaviour,35
7,SmallCorp,Retail,GCC,Overdraft,1561690,3,0.92,4.93,25.7,17,0,0,0.64,0,Clean Behaviour,35
8,SmallCorp,Energy,Asia,Overdraft,1170880,10,3.06,3.08,16.8,12,4,0,0.41,0,Mild Deterioration,55
9,MidCorp,Energy,Europe,TermLoan,9534615,9,2.57,1.02,11.4,1,3,0,0.47,0,Mild Deterioration,55
10,MidCorp,Services,GCC,TermLoan,5639462,2,1.24,3.9,10,11,0,0,0.83,0,Clean Behaviour,35
11,MidCorp,Services,GCC,TermLoan,11852270,4,1.42,5.28,9.2,5,0,0,0.76,0,Clean Behaviour,35
12,SmallCorp,Services,GCC,Revolver,1039060,5,1.36,6.86,21.2,11,0,0,0.88,0,Clean Behaviour,35
13,MidCorp,Services,GCC,TradeFinance,11568052,8,3.59,2.96,11.3,18,2,0,0.69,0,Mild Deterioration,55
14,LargeCorp,Manufacturing,Africa,Revolver,43924786,6,3.44,5.37,18.5,18,0,0,0.59,0,Clean Behaviour,35
15,MidCorp,Energy,GCC,TradeFinance,13393888,4,1.8,2.68,19.7,12,0,0,0.73,0,Clean Behaviour,35
16,SmallCorp,Manufacturing,Asia,TermLoan,1746905,10,1.08,0.1,6.7,10,4,1,1.19,0,Restructured Account,95
17,LargeCorp,Manufacturing,GCC,Overdraft,55939194,4,1.97,5.04,8.9,15,0,0,0.75,0,Clean Behaviour,35
18,LargeCorp,Manufacturing,GCC,Overdraft,61984301,7,3.07,3.92,15.9,11,1,0,0.62,0,Mild Deterioration,55
19,MidCorp,Manufacturing,GCC,Overdraft,7571940,9,3.34,1.4,13.5,18,4,0,0.63,0,Mild Deterioration,55
20,MidCorp,Services,GCC,TradeFinance,4273797,6,2.71,6.92,18.3,16,0,0,1.06,0,Clean Behaviour,35
21,SmallCorp,Manufacturing,Asia,TradeFinance,1865674,3,2.11,5.41,15.8,1,0,0,1.1,0,Clean Behaviour,35
22,SmallCorp,Manufacturing,Asia,Overdraft,1832532,8,2.6,4,7.1,17,2,0,0.41,0,Mild Deterioration,55
23,SmallCorp,Construction,Europe,TermLoan,1002347,7,1.42,1.09,14.9,7,1,0,0.64,0,Mild Deterioration,55
24,SmallCorp,Services,Europe,TradeFinance,1893394,4,2.7,7.36,16.8,18,0,0,0.92,0,Clean Behaviour,35
25,SmallCorp,Retail,Europe,TermLoan,2225942,4,1.49,4,11,20,1,0,0.71,0,Mild Deterioration,55
26,MidCorp,Transport,Asia,Overdraft,3511600,6,1.71,2.59,21.3,15,0,0,0.71,0,Clean Behaviour,35
27,MidCorp,Services,Europe,Overdraft,7070476,2,1.53,5.08,8.8,19,0,0,0.9,0,Clean Behaviour,35
28,LargeCorp,Manufacturing,GCC,TermLoan,53850939,2,1.16,4.27,12.8,17,0,0,0.79,0,Clean Behaviour,35
29,MidCorp,Construction,GCC,TermLoan,2952116,3,1.24,5.17,27.7,16,0,0,0.75,0,Clean Behaviour,35
